id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
1,genetic_source,1,2016-02-22 21:05:27.493086,f,,,,,,,
2,bandit,1,2016-02-22 21:05:27.510896,f,,,10,6,0,,
3,bandit,1,2016-02-22 21:05:27.512607,f,,,10,10,1,,
4,bandit,1,2016-02-22 21:05:27.514087,f,,,10,4,2,,
5,bandit,1,2016-02-22 21:05:27.515543,f,,,10,8,3,,
8,bandit_agent,1,2016-02-22 21:07:51.13339,t,2016-02-22 21:10:25.793861,A2SWQM5X54P1O5:358UUM7WRZ3CCNDUQIMF8SDTF76R7V,0.36,0,,,
15,bandit_agent,1,2016-02-22 21:08:24.390428,f,,A3OW5EFQ5QFD19:3S96KQ6I9M459BRWLKUW8ZO7P36DTN,0.0576,0,,,
17,bandit_agent,1,2016-02-22 21:08:42.313713,f,,AUQ79MANVDU9B:320DUZ38G7ME7S5IBGH0CE4V4TVJGY,0.6084,0,,,
35,bandit_agent,1,2016-02-22 21:11:48.268646,t,2016-02-22 21:15:57.337682,A2IMMQ5AS3ZK78:358UUM7WRZ3CCNDUQIMF8SDTF76R7V,,0,,,
16,bandit_agent,1,2016-02-22 21:08:25.722539,f,,AA9PW65NC1SK5:3OJSZ2ATDSWN70FWTB9C5R8XNPI75Y,0.16000000000000003,0,,,
42,bandit_agent,1,2016-02-22 21:14:43.228939,f,,AQVQHML14YYJH:33M4IA01QG16R2JL8VQD2RQHH0KXRV,0.09,0,,,
52,bandit_agent,1,2016-02-22 21:23:27.853197,f,,A1DQ9DDP3TI8HL:3L2IS5HSFAITV0XYAJY990M3MLGNU7,0.0529,0,,,
18,bandit_agent,1,2016-02-22 21:08:50.51222,t,2016-02-22 21:13:07.881511,A299CU7U9QX3E7:33M4IA01QG16R2JL8VQD2RQHH0KXRV,,0,,,
41,bandit_agent,1,2016-02-22 21:14:12.88778,f,,A320QA9HJFUOZO:323Q6SJS8IGC2MEXCW8XIGO4QMSHFT,0.06760000000000001,0,,,
46,bandit_agent,1,2016-02-22 21:18:02.506742,f,,A8SP23ECDU4F0:39JEC7537U1AHBP7QJZ0PBUA1OBVCM,0.0961,0,,,
26,bandit_agent,1,2016-02-22 21:09:34.233149,f,,A3DKYNYN50FYFY:37U1UTWH9VMGC1ID0NELMS9OQRC8RZ,0.06760000000000001,0,,,
21,bandit_agent,1,2016-02-22 21:09:07.771356,t,2016-02-22 21:13:31.214537,A9DDL2ARURWLI:3PZDLQMM0TL1KKR529FPN6XZ4QIC2V,0.010000000000000002,0,,,
6,bandit_agent,1,2016-02-22 21:07:40.696108,f,,A31ZQLN5HTZZOS:333U7HK6I9FBV8VR9QGS6T1YR1FJDO,0.1296,0,,,
7,bandit_agent,1,2016-02-22 21:07:43.601466,f,,AS28SBZT979BP:3JWH6J9I9SDEZ1OSASHE4AUFX08BND,0.2116,0,,,
34,bandit_agent,1,2016-02-22 21:11:18.092766,f,,A1VZSFHTU51JP0:3AAJC4I4FGSEY90N185PXLK1FJPZJ3,0.5776,0,,,
29,bandit_agent,1,2016-02-22 21:10:23.156608,f,,AZWDJ0I4IF2TW:31QNSG6A5RT6UIYYR9GFHBIOPFJ780,0.5476,0,,,
33,bandit_agent,1,2016-02-22 21:11:16.690262,f,,A3K9GTQBOI7O5A:3P1L2B7AD1P8UVAG2K6LX2QPZ4ROLS,0.0225,0,,,
11,bandit_agent,1,2016-02-22 21:08:06.163886,f,,A2DPKKEEW2I6QK:37Z929RLG98BB0AEIAPL3YA7Q6GTSX,0.0025000000000000005,0,,,
43,bandit_agent,1,2016-02-22 21:14:51.232515,t,2016-02-22 21:16:18.862798,A2541C8MY0BYV3:37ZHEEHM6WMKTLSSFSLJQUAD9TR738,1.0000000000000004e-12,0,,,
9,bandit_agent,1,2016-02-22 21:08:00.377393,f,,A6ZAKE3FP8YKY:37U1UTWH9VMGC1ID0NELMS9OQRCR8I,0.0004,0,,,
38,bandit_agent,1,2016-02-22 21:12:08.356362,f,,A3NT5KKMGWFK09:3QJOXOW4XJR6OMFC8I44S3B0V7CEMH,0.2304,0,,,
10,bandit_agent,1,2016-02-22 21:08:06.12313,f,,A38VMTKS30TQZB:3O6CYIULED1JIU6C2KPW5JZUFXJWU6,0.2601,0,,,
12,bandit_agent,1,2016-02-22 21:08:10.047445,f,,A2HSCKH5NKN5LP:3Y4W8Q93LZKKM3VLQFUB9HCSMOMDV3,0.16810000000000003,0,,,
36,bandit_agent,1,2016-02-22 21:11:49.854914,f,,AOXM7IK32TST5:33LKR6A5KEKBHGBK5RA17XNY0641TM,0.1936,0,,,
13,bandit_agent,1,2016-02-22 21:08:12.100535,f,,A3J85WP15JFYW0:3PS7W85Z8Z2T6LEF94PUM35HYIS9T3,0.2025,0,,,
14,bandit_agent,1,2016-02-22 21:08:14.238696,f,,A292QSLC0BUT0O:3WR9XG3T63B5BHBWF6Q20Z2JNTN74T,0.3249000000000001,0,,,
24,bandit_agent,1,2016-02-22 21:09:20.316572,t,2016-02-22 21:10:24.960035,A1E9YXB24AC78F:33LKR6A5KEKBHGBK5RA17XNY0641TM,,0,,,
25,bandit_agent,1,2016-02-22 21:09:25.981549,f,,A3QJJR5Y3XE92N:3ERMJ6L4DYSLF702LAQYMTJJ9K7M72,0.0121,0,,,
28,bandit_agent,1,2016-02-22 21:10:01.380943,f,,A2BZJAUH0XPO54:3YDGXNSEOZU9BVGFPBI8EZYEYDT48D,0.0529,0,,,
40,bandit_agent,1,2016-02-22 21:13:13.81041,f,,ABOEYY9Y0PFRI:3KIBXJ1WD5UXAPSYHKUKI2DAA4MOKP,0.0144,0,,,
39,bandit_agent,1,2016-02-22 21:12:51.856796,t,2016-02-22 21:16:37.586485,A138BU1VWM2RKN:3NAPMVF0ZWFV83W9BS7E7K5L3FR72X,,0,,,
22,bandit_agent,1,2016-02-22 21:09:14.403036,f,,A1AZ97YYFVWFGC:3OLQQLKKNSPGNE9R5LRCCBJJRDGJEH,1.0000000000000004e-12,0,,,
27,bandit_agent,1,2016-02-22 21:09:38.332656,f,,A31Q7PWLBCU2X0:31Q0U3WYDPFOJIEDSO7021VGB9D71G,0.09,0,,,
48,bandit_agent,1,2016-02-22 21:20:18.057029,f,,A1PDP88290N8N5:3JW0YLFXRTGWAYVHXK4XN7KR0DUWW5,0.11560000000000002,0,,,
19,bandit_agent,1,2016-02-22 21:08:51.934107,f,,A361EVMLK9O0G1:36ZN444YTRY64U2AHH985MYXI0XOIE,0.5328999999999999,0,,,
