id,assignment_id,creation_time,event_type
1,3MMN5BL1WZ43EOZFJYN89C734ILM3X,2016-02-22 21:06:46.498233,AssignmentAccepted
2,37Z929RLG98BB0AEIAPL3YA7Q6GTSX,2016-02-22 21:07:16.250219,AssignmentAccepted
3,31Q0U3WYDPFOJIEDSO7021VGB9D71G,2016-02-22 21:07:16.651529,AssignmentAccepted
4,3NAPMVF0ZWFV83W9BS7E7K5L3FR72X,2016-02-22 21:07:17.05736,AssignmentAccepted
5,3O6CYIULED1JIU6C2KPW5JZUFXJWU6,2016-02-22 21:07:17.454562,AssignmentAccepted
6,3JWH6J9I9SDEZ1OSASHE4AUFX08BND,2016-02-22 21:07:22.282667,AssignmentAccepted
7,358UUM7WRZ3CCNDUQIMF8SDTF76R7V,2016-02-22 21:07:22.683093,AssignmentAccepted
8,3S96KQ6I9M459BRWLKUW8ZO7P36DTN,2016-02-22 21:07:29.985064,AssignmentAccepted
9,3JW0YLFXRTGWAYVHXK4XN7KR0DUWW5,2016-02-22 21:07:35.422516,AssignmentAccepted
10,3WR9XG3T63B5BHBWF6Q20Z2JNTN74T,2016-02-22 21:07:35.82009,AssignmentAccepted
11,3NKQQ8O39Y5K9O6LLPK6DVA98HDDUE,2016-02-22 21:07:36.501077,AssignmentAccepted
12,3PZDLQMM0TL1KKR529FPN6XZ4QIC2V,2016-02-22 21:07:36.899461,AssignmentAccepted
13,3AAJC4I4FGSEY90N185PXLK1FJPZJ3,2016-02-22 21:07:44.463752,AssignmentAccepted
14,33IZTU6J811ISHJYNKQIS1VD323XSJ,2016-02-22 21:07:44.880149,AssignmentAccepted
15,3OJSZ2ATDSWN70FWTB9C5R8XNPI75Y,2016-02-22 21:07:45.284024,AssignmentAccepted
16,3OLQQLKKNSPGNE9R5LRCCBJJRDGJEH,2016-02-22 21:07:45.684583,AssignmentAccepted
17,3KIBXJ1WD5UXAPSYHKUKI2DAA4MOKP,2016-02-22 21:07:46.167857,AssignmentAccepted
18,37U1UTWH9VMGC1ID0NELMS9OQRCR8I,2016-02-22 21:07:50.310907,AssignmentAccepted
