id,type,info_in_id,info_out_id,node_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
1,mutation,1,3,6,1,2016-02-22 21:07:40.775828,f,,,,,,
2,mutation,2,4,6,1,2016-02-22 21:07:40.797171,f,,,,,,
3,mutation,1,6,7,1,2016-02-22 21:07:43.668049,f,,,,,,
4,mutation,2,7,7,1,2016-02-22 21:07:43.68415,f,,,,,,
7,mutation,1,28,9,1,2016-02-22 21:08:00.442481,f,,,,,,
8,mutation,2,29,9,1,2016-02-22 21:08:00.458485,f,,,,,,
9,mutation,1,43,10,1,2016-02-22 21:08:06.212693,f,,,,,,
10,mutation,2,44,10,1,2016-02-22 21:08:06.234218,f,,,,,,
11,mutation,2,45,11,1,2016-02-22 21:08:06.250933,f,,,,,,
12,mutation,1,46,11,1,2016-02-22 21:08:06.268837,f,,,,,,
13,mutation,1,54,12,1,2016-02-22 21:08:10.112155,f,,,,,,
14,mutation,2,55,12,1,2016-02-22 21:08:10.128453,f,,,,,,
15,mutation,1,60,13,1,2016-02-22 21:08:12.166612,f,,,,,,
16,mutation,2,61,13,1,2016-02-22 21:08:12.18251,f,,,,,,
17,mutation,2,69,14,1,2016-02-22 21:08:14.319046,f,,,,,,
18,mutation,1,70,14,1,2016-02-22 21:08:14.340787,f,,,,,,
19,mutation,2,105,15,1,2016-02-22 21:08:24.453706,f,,,,,,
20,mutation,1,106,15,1,2016-02-22 21:08:24.470268,f,,,,,,
21,mutation,2,110,16,1,2016-02-22 21:08:25.785815,f,,,,,,
22,mutation,1,111,16,1,2016-02-22 21:08:25.80202,f,,,,,,
23,mutation,2,177,17,1,2016-02-22 21:08:42.379733,f,,,,,,
24,mutation,1,178,17,1,2016-02-22 21:08:42.395377,f,,,,,,
27,mutation,1,226,19,1,2016-02-22 21:08:51.993056,f,,,,,,
28,mutation,2,227,19,1,2016-02-22 21:08:52.008792,f,,,,,,
29,mutation,2,253,20,1,2016-02-22 21:08:58.709789,f,,,,,,
30,mutation,1,255,20,1,2016-02-22 21:08:58.730334,f,,,,,,
33,mutation,1,333,22,1,2016-02-22 21:09:14.488411,f,,,,,,
34,mutation,2,334,22,1,2016-02-22 21:09:14.509349,f,,,,,,
35,mutation,1,350,23,1,2016-02-22 21:09:18.75533,f,,,,,,
36,mutation,2,351,23,1,2016-02-22 21:09:18.772611,f,,,,,,
39,mutation,1,384,25,1,2016-02-22 21:09:26.061058,f,,,,,,
40,mutation,2,385,25,1,2016-02-22 21:09:26.081045,f,,,,,,
41,mutation,1,428,26,1,2016-02-22 21:09:34.317061,f,,,,,,
42,mutation,2,429,26,1,2016-02-22 21:09:34.338432,f,,,,,,
43,mutation,1,446,27,1,2016-02-22 21:09:38.408812,f,,,,,,
44,mutation,2,447,27,1,2016-02-22 21:09:38.428583,f,,,,,,
45,mutation,2,545,28,1,2016-02-22 21:10:01.47302,f,,,,,,
46,mutation,1,547,28,1,2016-02-22 21:10:01.492818,f,,,,,,
47,mutation,1,635,29,1,2016-02-22 21:10:23.230269,f,,,,,,
48,mutation,2,636,29,1,2016-02-22 21:10:23.249179,f,,,,,,
37,mutation,1,359,24,1,2016-02-22 21:09:20.385491,t,2016-02-22 21:10:24.987772,,,,,
38,mutation,2,360,24,1,2016-02-22 21:09:20.401704,t,2016-02-22 21:10:24.987749,,,,,
5,mutation,1,14,8,1,2016-02-22 21:07:51.223507,t,2016-02-22 21:10:25.863855,,,,,
6,mutation,2,15,8,1,2016-02-22 21:07:51.243697,t,2016-02-22 21:10:25.863832,,,,,
49,mutation,1,715,30,1,2016-02-22 21:10:42.658387,f,,,,,,
50,mutation,2,716,30,1,2016-02-22 21:10:42.674097,f,,,,,,
51,mutation,1,756,31,1,2016-02-22 21:10:56.029617,f,,,,,,
52,mutation,2,757,31,1,2016-02-22 21:10:56.04429,f,,,,,,
53,mutation,1,801,32,1,2016-02-22 21:11:11.152095,f,,,,,,
54,mutation,2,802,32,1,2016-02-22 21:11:11.167119,f,,,,,,
55,mutation,1,823,33,1,2016-02-22 21:11:16.767695,f,,,,,,
56,mutation,2,824,33,1,2016-02-22 21:11:16.787654,f,,,,,,
57,mutation,1,828,34,1,2016-02-22 21:11:18.167994,f,,,,,,
58,mutation,2,829,34,1,2016-02-22 21:11:18.187831,f,,,,,,
61,mutation,1,917,36,1,2016-02-22 21:11:49.931487,f,,,,,,
62,mutation,2,918,36,1,2016-02-22 21:11:49.9457,f,,,,,,
63,mutation,1,955,37,1,2016-02-22 21:12:04.866434,f,,,,,,
64,mutation,2,956,37,1,2016-02-22 21:12:04.881635,f,,,,,,
65,mutation,1,969,38,1,2016-02-22 21:12:08.43152,f,,,,,,
66,mutation,2,970,38,1,2016-02-22 21:12:08.450803,f,,,,,,
25,mutation,1,217,18,1,2016-02-22 21:08:50.578183,t,2016-02-22 21:13:07.920043,,,,,
26,mutation,2,218,18,1,2016-02-22 21:08:50.596367,t,2016-02-22 21:13:07.920066,,,,,
69,mutation,1,1123,40,1,2016-02-22 21:13:13.881468,f,,,,,,
70,mutation,2,1124,40,1,2016-02-22 21:13:13.898442,f,,,,,,
31,mutation,2,299,21,1,2016-02-22 21:09:07.833643,t,2016-02-22 21:13:31.279627,,,,,
32,mutation,1,300,21,1,2016-02-22 21:09:07.849505,t,2016-02-22 21:13:31.27965,,,,,
71,mutation,2,1250,41,1,2016-02-22 21:14:12.95318,f,,,,,,
72,mutation,1,1251,41,1,2016-02-22 21:14:12.969564,f,,,,,,
73,mutation,1,1303,42,1,2016-02-22 21:14:43.288808,f,,,,,,
74,mutation,2,1304,42,1,2016-02-22 21:14:43.303853,f,,,,,,
59,mutation,2,910,35,1,2016-02-22 21:11:48.347808,t,2016-02-22 21:15:57.374926,,,,,
60,mutation,1,911,35,1,2016-02-22 21:11:48.365967,t,2016-02-22 21:15:57.374949,,,,,
75,mutation,2,1317,43,1,2016-02-22 21:14:51.306279,t,2016-02-22 21:16:18.927667,,,,,
76,mutation,1,1318,43,1,2016-02-22 21:14:51.325738,t,2016-02-22 21:16:18.927689,,,,,
77,mutation,2,1475,44,1,2016-02-22 21:16:26.210936,f,,,,,,
78,mutation,1,1476,44,1,2016-02-22 21:16:26.226901,f,,,,,,
67,mutation,2,1078,39,1,2016-02-22 21:12:51.918101,t,2016-02-22 21:16:37.616881,,,,,
68,mutation,1,1079,39,1,2016-02-22 21:12:51.933449,t,2016-02-22 21:16:37.616903,,,,,
81,mutation,2,1523,46,1,2016-02-22 21:18:02.585768,f,,,,,,
82,mutation,1,1524,46,1,2016-02-22 21:18:02.609121,f,,,,,,
79,mutation,2,1497,45,1,2016-02-22 21:17:24.590274,t,2016-02-22 21:18:39.520332,,,,,
80,mutation,1,1498,45,1,2016-02-22 21:17:24.609213,t,2016-02-22 21:18:39.520354,,,,,
83,mutation,1,1560,47,1,2016-02-22 21:19:07.734417,f,,,,,,
84,mutation,2,1561,47,1,2016-02-22 21:19:07.74851,f,,,,,,
85,mutation,2,1585,48,1,2016-02-22 21:20:18.148035,f,,,,,,
86,mutation,1,1586,48,1,2016-02-22 21:20:18.167459,f,,,,,,
87,mutation,1,1609,49,1,2016-02-22 21:21:03.693224,f,,,,,,
88,mutation,2,1610,49,1,2016-02-22 21:21:03.71006,f,,,,,,
89,mutation,2,1619,50,1,2016-02-22 21:21:10.380585,f,,,,,,
90,mutation,1,1620,50,1,2016-02-22 21:21:10.395861,f,,,,,,
91,mutation,1,1623,51,1,2016-02-22 21:21:14.588629,f,,,,,,
92,mutation,2,1624,51,1,2016-02-22 21:21:14.609117,f,,,,,,
93,mutation,1,1731,52,1,2016-02-22 21:23:27.922533,f,,,,,,
94,mutation,2,1732,52,1,2016-02-22 21:23:27.938506,f,,,,,,
95,mutation,1,1799,53,1,2016-02-22 21:35:44.988246,t,2016-02-22 21:38:18.176836,,,,,
96,mutation,2,1800,53,1,2016-02-22 21:35:45.004744,t,2016-02-22 21:38:18.176857,,,,,
97,mutation,1,1833,54,1,2016-02-22 21:41:26.352454,f,,,,,,
98,mutation,2,1834,54,1,2016-02-22 21:41:26.371881,f,,,,,,
101,mutation,635,1870,56,1,2016-02-22 21:47:12.04619,f,,,,,,
102,mutation,636,1871,56,1,2016-02-22 21:47:12.06157,f,,,,,,
103,mutation,828,1896,57,1,2016-02-22 21:47:36.951908,f,,,,,,
104,mutation,829,1897,57,1,2016-02-22 21:47:36.967,f,,,,,,
105,mutation,70,1924,58,1,2016-02-22 21:47:54.981843,f,,,,,,
106,mutation,69,1925,58,1,2016-02-22 21:47:54.996898,f,,,,,,
107,mutation,60,1931,59,1,2016-02-22 21:47:59.113448,f,,,,,,
108,mutation,61,1932,59,1,2016-02-22 21:47:59.127803,f,,,,,,
109,mutation,43,1940,60,1,2016-02-22 21:48:02.363216,f,,,,,,
110,mutation,44,1941,60,1,2016-02-22 21:48:02.379229,f,,,,,,
113,mutation,547,2042,62,1,2016-02-22 21:48:42.252863,f,,,,,,
114,mutation,545,2043,62,1,2016-02-22 21:48:42.267567,f,,,,,,
115,mutation,55,2077,63,1,2016-02-22 21:48:52.031055,f,,,,,,
116,mutation,54,2078,63,1,2016-02-22 21:48:52.045295,f,,,,,,
117,mutation,801,2116,64,1,2016-02-22 21:49:04.963577,f,,,,,,
118,mutation,802,2117,64,1,2016-02-22 21:49:04.978212,f,,,,,,
