id,vector_id,info_id,origin_id,destination_id,network_id,creation_time,receive_time,failed,time_of_death,status,property1,property2,property3,property4,property5
1,1,2,1,6,1,2016-02-22 21:07:40.730215,2016-02-22 21:07:40.747747,f,,received,,,,,
2,1,1,1,6,1,2016-02-22 21:07:40.74316,2016-02-22 21:07:40.747721,f,,received,,,,,
3,2,2,1,7,1,2016-02-22 21:07:43.631015,2016-02-22 21:07:43.644561,f,,received,,,,,
4,2,1,1,7,1,2016-02-22 21:07:43.640754,2016-02-22 21:07:43.644536,f,,received,,,,,
25,13,2,1,18,1,2016-02-22 21:08:50.538701,2016-02-22 21:08:50.551439,t,2016-02-22 21:13:07.913962,received,,,,,
26,13,1,1,18,1,2016-02-22 21:08:50.547993,2016-02-22 21:08:50.551418,t,2016-02-22 21:13:07.913993,received,,,,,
69,35,1,1,40,1,2016-02-22 21:13:13.842156,2016-02-22 21:13:13.857625,f,,received,,,,,
70,35,2,1,40,1,2016-02-22 21:13:13.853917,2016-02-22 21:13:13.857646,f,,received,,,,,
7,4,2,1,9,1,2016-02-22 21:08:00.406299,2016-02-22 21:08:00.420081,f,,received,,,,,
8,4,1,1,9,1,2016-02-22 21:08:00.41633,2016-02-22 21:08:00.420056,f,,received,,,,,
31,16,1,1,21,1,2016-02-22 21:09:07.798425,2016-02-22 21:09:07.811115,t,2016-02-22 21:13:31.273903,received,,,,,
32,16,2,1,21,1,2016-02-22 21:09:07.807731,2016-02-22 21:09:07.811095,t,2016-02-22 21:13:31.273929,received,,,,,
9,5,2,1,10,1,2016-02-22 21:08:06.159731,2016-02-22 21:08:06.180383,f,,received,,,,,
10,5,1,1,10,1,2016-02-22 21:08:06.175047,2016-02-22 21:08:06.180341,f,,received,,,,,
11,6,1,1,11,1,2016-02-22 21:08:06.203811,2016-02-22 21:08:06.221757,f,,received,,,,,
12,6,2,1,11,1,2016-02-22 21:08:06.217331,2016-02-22 21:08:06.221732,f,,received,,,,,
71,36,2,1,41,1,2016-02-22 21:14:12.916971,2016-02-22 21:14:12.930845,f,,received,,,,,
72,36,1,1,41,1,2016-02-22 21:14:12.927359,2016-02-22 21:14:12.930865,f,,received,,,,,
13,7,2,1,12,1,2016-02-22 21:08:10.07591,2016-02-22 21:08:10.089338,f,,received,,,,,
14,7,1,1,12,1,2016-02-22 21:08:10.085595,2016-02-22 21:08:10.089316,f,,received,,,,,
15,8,2,1,13,1,2016-02-22 21:08:12.130098,2016-02-22 21:08:12.144499,f,,received,,,,,
16,8,1,1,13,1,2016-02-22 21:08:12.140719,2016-02-22 21:08:12.144474,f,,received,,,,,
73,37,1,1,42,1,2016-02-22 21:14:43.255333,2016-02-22 21:14:43.267984,f,,received,,,,,
74,37,2,1,42,1,2016-02-22 21:14:43.264953,2016-02-22 21:14:43.268004,f,,received,,,,,
17,9,1,1,14,1,2016-02-22 21:08:14.271994,2016-02-22 21:08:14.287159,f,,received,,,,,
18,9,2,1,14,1,2016-02-22 21:08:14.282873,2016-02-22 21:08:14.287134,f,,received,,,,,
19,10,1,1,15,1,2016-02-22 21:08:24.418383,2016-02-22 21:08:24.431451,f,,received,,,,,
20,10,2,1,15,1,2016-02-22 21:08:24.427826,2016-02-22 21:08:24.431431,f,,received,,,,,
21,11,1,1,16,1,2016-02-22 21:08:25.749829,2016-02-22 21:08:25.763455,f,,received,,,,,
22,11,2,1,16,1,2016-02-22 21:08:25.759835,2016-02-22 21:08:25.763434,f,,received,,,,,
59,30,2,1,35,1,2016-02-22 21:11:48.306893,2016-02-22 21:11:48.322479,t,2016-02-22 21:15:57.368974,received,,,,,
60,30,1,1,35,1,2016-02-22 21:11:48.318235,2016-02-22 21:11:48.322505,t,2016-02-22 21:15:57.36901,received,,,,,
23,12,1,1,17,1,2016-02-22 21:08:42.342516,2016-02-22 21:08:42.357162,f,,received,,,,,
24,12,2,1,17,1,2016-02-22 21:08:42.353223,2016-02-22 21:08:42.357137,f,,received,,,,,
75,38,2,1,43,1,2016-02-22 21:14:51.264568,2016-02-22 21:14:51.279923,t,2016-02-22 21:16:18.921895,received,,,,,
76,38,1,1,43,1,2016-02-22 21:14:51.275653,2016-02-22 21:14:51.279943,t,2016-02-22 21:16:18.921928,received,,,,,
27,14,2,1,19,1,2016-02-22 21:08:51.960146,2016-02-22 21:08:51.972503,f,,received,,,,,
28,14,1,1,19,1,2016-02-22 21:08:51.969398,2016-02-22 21:08:51.972483,f,,received,,,,,
77,39,2,1,44,1,2016-02-22 21:16:26.173951,2016-02-22 21:16:26.187989,f,,received,,,,,
78,39,1,1,44,1,2016-02-22 21:16:26.184265,2016-02-22 21:16:26.188011,f,,received,,,,,
29,15,1,1,20,1,2016-02-22 21:08:58.654098,2016-02-22 21:08:58.673475,f,,received,,,,,
30,15,2,1,20,1,2016-02-22 21:08:58.667837,2016-02-22 21:08:58.673444,f,,received,,,,,
67,34,2,1,39,1,2016-02-22 21:12:51.883387,2016-02-22 21:12:51.896819,t,2016-02-22 21:16:37.6111,received,,,,,
68,34,1,1,39,1,2016-02-22 21:12:51.893529,2016-02-22 21:12:51.89684,t,2016-02-22 21:16:37.611124,received,,,,,
33,17,1,1,22,1,2016-02-22 21:09:14.441305,2016-02-22 21:09:14.459445,f,,received,,,,,
34,17,2,1,22,1,2016-02-22 21:09:14.454306,2016-02-22 21:09:14.45947,f,,received,,,,,
35,18,1,1,23,1,2016-02-22 21:09:18.719303,2016-02-22 21:09:18.733033,f,,received,,,,,
36,18,2,1,23,1,2016-02-22 21:09:18.729237,2016-02-22 21:09:18.733054,f,,received,,,,,
81,41,2,1,46,1,2016-02-22 21:18:02.541619,2016-02-22 21:18:02.557899,f,,received,,,,,
82,41,1,1,46,1,2016-02-22 21:18:02.553358,2016-02-22 21:18:02.557921,f,,received,,,,,
79,40,2,1,45,1,2016-02-22 21:17:24.546475,2016-02-22 21:17:24.562749,t,2016-02-22 21:18:39.51461,received,,,,,
80,40,1,1,45,1,2016-02-22 21:17:24.558452,2016-02-22 21:17:24.562769,t,2016-02-22 21:18:39.514633,received,,,,,
39,20,1,1,25,1,2016-02-22 21:09:26.016821,2016-02-22 21:09:26.032877,f,,received,,,,,
40,20,2,1,25,1,2016-02-22 21:09:26.028182,2016-02-22 21:09:26.032902,f,,received,,,,,
41,21,1,1,26,1,2016-02-22 21:09:34.267924,2016-02-22 21:09:34.287507,f,,received,,,,,
42,21,2,1,26,1,2016-02-22 21:09:34.280742,2016-02-22 21:09:34.287532,f,,received,,,,,
83,42,1,1,47,1,2016-02-22 21:19:07.701956,2016-02-22 21:19:07.714411,f,,received,,,,,
84,42,2,1,47,1,2016-02-22 21:19:07.711372,2016-02-22 21:19:07.714431,f,,received,,,,,
43,22,1,1,27,1,2016-02-22 21:09:38.364787,2016-02-22 21:09:38.380945,f,,received,,,,,
44,22,2,1,27,1,2016-02-22 21:09:38.376436,2016-02-22 21:09:38.380966,f,,received,,,,,
45,23,2,1,28,1,2016-02-22 21:10:01.419358,2016-02-22 21:10:01.445031,f,,received,,,,,
46,23,1,1,28,1,2016-02-22 21:10:01.439622,2016-02-22 21:10:01.445064,f,,received,,,,,
85,43,2,1,48,1,2016-02-22 21:20:18.091072,2016-02-22 21:20:18.117625,f,,received,,,,,
86,43,1,1,48,1,2016-02-22 21:20:18.112455,2016-02-22 21:20:18.117659,f,,received,,,,,
47,24,1,1,29,1,2016-02-22 21:10:23.188082,2016-02-22 21:10:23.203059,f,,received,,,,,
48,24,2,1,29,1,2016-02-22 21:10:23.198808,2016-02-22 21:10:23.203079,f,,received,,,,,
37,19,1,1,24,1,2016-02-22 21:09:20.344829,2016-02-22 21:09:20.358166,t,2016-02-22 21:10:24.98206,received,,,,,
38,19,2,1,24,1,2016-02-22 21:09:20.354439,2016-02-22 21:09:20.358187,t,2016-02-22 21:10:24.982084,received,,,,,
5,3,2,1,8,1,2016-02-22 21:07:51.177555,2016-02-22 21:07:51.194241,t,2016-02-22 21:10:25.858369,received,,,,,
6,3,1,1,8,1,2016-02-22 21:07:51.189198,2016-02-22 21:07:51.194216,t,2016-02-22 21:10:25.858394,received,,,,,
49,25,1,1,30,1,2016-02-22 21:10:42.621411,2016-02-22 21:10:42.635812,f,,received,,,,,
50,25,2,1,30,1,2016-02-22 21:10:42.63201,2016-02-22 21:10:42.635836,f,,received,,,,,
87,44,1,1,49,1,2016-02-22 21:21:03.64781,2016-02-22 21:21:03.665281,f,,received,,,,,
88,44,2,1,49,1,2016-02-22 21:21:03.660979,2016-02-22 21:21:03.665307,f,,received,,,,,
51,26,1,1,31,1,2016-02-22 21:10:55.997149,2016-02-22 21:10:56.010052,f,,received,,,,,
52,26,2,1,31,1,2016-02-22 21:10:56.006838,2016-02-22 21:10:56.010073,f,,received,,,,,
53,27,1,1,32,1,2016-02-22 21:11:11.120622,2016-02-22 21:11:11.13311,f,,received,,,,,
54,27,2,1,32,1,2016-02-22 21:11:11.13007,2016-02-22 21:11:11.133131,f,,received,,,,,
89,45,2,1,50,1,2016-02-22 21:21:10.34649,2016-02-22 21:21:10.359678,f,,received,,,,,
90,45,1,1,50,1,2016-02-22 21:21:10.356501,2016-02-22 21:21:10.359699,f,,received,,,,,
55,28,1,1,33,1,2016-02-22 21:11:16.723348,2016-02-22 21:11:16.740183,f,,received,,,,,
56,28,2,1,33,1,2016-02-22 21:11:16.735423,2016-02-22 21:11:16.74021,f,,received,,,,,
57,29,1,1,34,1,2016-02-22 21:11:18.125216,2016-02-22 21:11:18.140884,f,,received,,,,,
58,29,2,1,34,1,2016-02-22 21:11:18.136496,2016-02-22 21:11:18.140905,f,,received,,,,,
61,31,1,1,36,1,2016-02-22 21:11:49.899029,2016-02-22 21:11:49.911625,f,,received,,,,,
62,31,2,1,36,1,2016-02-22 21:11:49.908602,2016-02-22 21:11:49.911646,f,,received,,,,,
63,32,1,1,37,1,2016-02-22 21:12:04.831309,2016-02-22 21:12:04.84523,f,,received,,,,,
64,32,2,1,37,1,2016-02-22 21:12:04.841753,2016-02-22 21:12:04.845251,f,,received,,,,,
65,33,1,1,38,1,2016-02-22 21:12:08.388204,2016-02-22 21:12:08.404303,f,,received,,,,,
66,33,2,1,38,1,2016-02-22 21:12:08.400052,2016-02-22 21:12:08.404323,f,,received,,,,,
111,56,70,14,61,1,2016-02-22 21:48:27.81109,2016-02-22 21:48:27.822722,t,2016-02-22 21:50:15.367583,received,,,,,
112,56,69,14,61,1,2016-02-22 21:48:27.819581,2016-02-22 21:48:27.822702,t,2016-02-22 21:50:15.367607,received,,,,,
91,46,2,1,51,1,2016-02-22 21:21:14.539865,2016-02-22 21:21:14.55943,f,,received,,,,,
92,46,1,1,51,1,2016-02-22 21:21:14.553431,2016-02-22 21:21:14.559401,f,,received,,,,,
125,63,1476,44,68,1,2016-02-22 21:50:18.074455,2016-02-22 21:50:18.086107,f,,received,,,,,
126,63,1475,44,68,1,2016-02-22 21:50:18.082799,2016-02-22 21:50:18.086084,f,,received,,,,,
93,47,2,1,52,1,2016-02-22 21:23:27.884393,2016-02-22 21:23:27.899615,f,,received,,,,,
94,47,1,1,52,1,2016-02-22 21:23:27.895476,2016-02-22 21:23:27.89959,f,,received,,,,,
313,157,4679,120,162,1,2016-02-22 23:05:23.359166,2016-02-22 23:05:23.371969,f,,received,,,,,
314,157,4678,120,162,1,2016-02-22 23:05:23.368337,2016-02-22 23:05:23.371948,f,,received,,,,,
127,64,177,17,69,1,2016-02-22 21:50:18.621628,2016-02-22 21:50:18.633494,f,,received,,,,,
