id,origin_id,destination_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
1,1,6,1,2016-02-22 21:07:40.714229,f,,,,,,
2,1,7,1,2016-02-22 21:07:43.617845,f,,,,,,
4,1,9,1,2016-02-22 21:08:00.393961,f,,,,,,
5,1,10,1,2016-02-22 21:08:06.140575,f,,,,,,
6,1,11,1,2016-02-22 21:08:06.186208,f,,,,,,
7,1,12,1,2016-02-22 21:08:10.064159,f,,,,,,
8,1,13,1,2016-02-22 21:08:12.117206,f,,,,,,
9,1,14,1,2016-02-22 21:08:14.258406,f,,,,,,
10,1,15,1,2016-02-22 21:08:24.405811,f,,,,,,
11,1,16,1,2016-02-22 21:08:25.737857,f,,,,,,
12,1,17,1,2016-02-22 21:08:42.330108,f,,,,,,
14,1,19,1,2016-02-22 21:08:51.948754,f,,,,,,
15,1,20,1,2016-02-22 21:08:58.636194,f,,,,,,
17,1,22,1,2016-02-22 21:09:14.423982,f,,,,,,
18,1,23,1,2016-02-22 21:09:18.70725,f,,,,,,
20,1,25,1,2016-02-22 21:09:26.001752,f,,,,,,
21,1,26,1,2016-02-22 21:09:34.252778,f,,,,,,
22,1,27,1,2016-02-22 21:09:38.350877,f,,,,,,
23,1,28,1,2016-02-22 21:10:01.401041,f,,,,,,
24,1,29,1,2016-02-22 21:10:23.174538,f,,,,,,
19,1,24,1,2016-02-22 21:09:20.332764,t,2016-02-22 21:10:24.970772,,,,,
3,1,8,1,2016-02-22 21:07:51.159618,t,2016-02-22 21:10:25.80443,,,,,
25,1,30,1,2016-02-22 21:10:42.605711,f,,,,,,
26,1,31,1,2016-02-22 21:10:55.985752,f,,,,,,
27,1,32,1,2016-02-22 21:11:11.108373,f,,,,,,
28,1,33,1,2016-02-22 21:11:16.709054,f,,,,,,
29,1,34,1,2016-02-22 21:11:18.111463,f,,,,,,
31,1,36,1,2016-02-22 21:11:49.887788,f,,,,,,
32,1,37,1,2016-02-22 21:12:04.819232,f,,,,,,
33,1,38,1,2016-02-22 21:12:08.374652,f,,,,,,
13,1,18,1,2016-02-22 21:08:50.527094,t,2016-02-22 21:13:07.892838,,,,,
35,1,40,1,2016-02-22 21:13:13.827069,f,,,,,,
16,1,21,1,2016-02-22 21:09:07.786635,t,2016-02-22 21:13:31.224126,,,,,
36,1,41,1,2016-02-22 21:14:12.904315,f,,,,,,
