id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
1,genetic_source,1,2016-03-02 23:42:44.49847,f,,,,,,,
2,bandit,1,2016-03-02 23:42:44.511966,f,,,10,2,0,,
3,bandit,1,2016-03-02 23:42:44.513093,f,,,10,5,1,,
4,bandit,1,2016-03-02 23:42:44.514035,f,,,10,3,2,,
5,bandit,1,2016-03-02 23:42:44.515004,f,,,10,2,3,,
11,bandit_agent,1,2016-03-02 23:50:52.876503,f,,AKNYT1NTK2UFK:3HL8HNGX451JNGWEEKK55ZQG7NK9FN,0.16000000000000003,0,,,
38,bandit_agent,1,2016-03-02 23:53:45.455242,f,,A2Z70GL7HTFFQR:3TYCR1GOTCJKTZON4TH2D0XTJMVZLY,1.0000000000000004e-12,0,,,
15,bandit_agent,1,2016-03-02 23:51:03.174068,t,2016-03-02 23:53:56.741454,A27TJ5U1Z6PCHL:3PEIJLRY6TTBZY077P0JPQYY9T1WXR,1.0000000000000004e-12,0,,,
29,bandit_agent,1,2016-03-02 23:52:17.95131,f,,A2HCKWFKLJAMRG:3QJOXOW4XJR6OMFC8I44S3B0VLCEM9,1.0000000000000004e-12,0,,,
37,bandit_agent,1,2016-03-02 23:53:25.96151,f,,AM8JR4IKIV18K:3OF2M9AATGO99T65JT51Y0KEUMQZKV,0.16000000000000003,0,,,
35,bandit_agent,1,2016-03-02 23:53:06.327789,f,,A1GXFMAC759VRM:3KV0LJBBH2LVXQKHUOO4RAAJAA2RMZ,0.010000000000000002,0,,,
47,bandit_agent,1,2016-03-02 23:57:38.00698,f,,A37EV8RZ82WT8E:382M9COHEHFP1UKLHKVQJDSU87FUEH,0.16000000000000003,0,,,
34,bandit_agent,1,2016-03-02 23:53:03.715819,f,,AEJVWD7LT5124:3A4NIXBJ76ZKUSP4P4R85Y1K4IDML4,0.16000000000000003,0,,,
31,bandit_agent,1,2016-03-02 23:52:31.966771,f,,AXRR5MRYAO4TL:3VD82FOHKQOFRRGAP7DMUJ0259FCOU,0.4900000000000001,0,,,
24,bandit_agent,1,2016-03-02 23:51:45.336877,f,,A2WC2NO555XU3J:3OWEPKL089CRXPL2XB5YZ88JEOHN7V,0.25,0,,,
18,bandit_agent,1,2016-03-02 23:51:17.349319,f,,ALAC1V25DEUY0:3K3R2QNK8B386YT499F4RZRJHA09UN,0.04000000000000001,0,,,
36,bandit_agent,1,2016-03-02 23:53:09.570633,f,,A1SXLST66ZINTJ:3PDJHANYK5GGJTLMB35TOABRX1PH6I,0.09,0,,,
6,bandit_agent,1,2016-03-02 23:49:57.361358,f,,A19C6T7B0H4PAQ:3D4CH1LGEATP1GS9P4QNNKQS82K9GM,0.09,0,,,
41,bandit_agent,1,2016-03-02 23:54:06.217462,f,,A3DY78Q4FCWTXX:33CID57104TJ86HUJMMT9ZSE4RXL3O,0.04000000000000001,0,,,
25,bandit_agent,1,2016-03-02 23:51:48.973987,f,,A15LHHN76OW2UM:32Q90QCQ1SLBYYF9N6RODQJW6GHEK4,0.25,0,,,
12,bandit_agent,1,2016-03-02 23:50:56.964388,f,,A2BL0NJ8A8X050:3S4AW7T80BI4Q20YJ0RCJ4KKIRT4LS,0.09,0,,,
46,bandit_agent,1,2016-03-02 23:56:51.9159,f,,AAN42SYV7KUT8:3JMSRU9HQIUPE99LMA5VFZUDMEOEVQ,0.04000000000000001,0,,,
13,bandit_agent,1,2016-03-02 23:51:00.56127,f,,A2F79GFUWU5O96:37W3JXSD6680Z3QHCLML8457BZVWYX,0.04000000000000001,0,,,
17,bandit_agent,1,2016-03-02 23:51:10.70542,f,,A1XQ63GSGY6ALL:3LJ7UR74RHDUE23JVD7RWWO9NMRN4B,0.09,0,,,
10,bandit_agent,1,2016-03-02 23:50:42.957533,f,,A2CEUCPDECS6U3:31LVTDXBL7ABR82WUCNPRXVUA5CRLX,1.0000000000000004e-12,0,,,
19,bandit_agent,1,2016-03-02 23:51:22.963914,f,,A7KLTVEIASF4J:3W2LOLRXLBF072KE9CBOCXIFL57RKU,0.16000000000000003,0,,,
20,bandit_agent,1,2016-03-02 23:51:28.019369,f,,A31NM1MBTECA53:39GAF6DQWR0QU8F9AMAG8FBJX5L1VV,1.0000000000000004e-12,0,,,
49,bandit_agent,1,2016-03-03 00:00:02.375445,t,2016-03-03 00:04:04.010106,A1HV2V9M87ZTM9:3QAPZX2QN4DHQSWPQTM5S5VYVFM02J,,0,,,
22,bandit_agent,1,2016-03-02 23:51:38.795053,f,,AJ34WB9Z37ILU:3X65QVEQI0N7L6DDCFXU22W8A4ACLD,0.09,0,,,
16,bandit_agent,1,2016-03-02 23:51:04.088724,f,,AUI3R928P63B0:3C2NJ6JBKAHKBOOWRZO33HRB38VN2F,0.36,0,,,
40,bandit_agent,1,2016-03-02 23:53:56.62508,t,2016-03-02 23:58:23.378217,A2V9WQ4ZG1NUNP:3AQF3RZ558IW5XUGGDHTLPZEHMDF6J,0.04000000000000001,0,,,
7,bandit_agent,1,2016-03-02 23:50:25.620251,f,,A2GTJ0BD4CG1A2:3G2UL9A02DEJQ4FAYUJHXXMXJYU767,0.010000000000000002,0,,,
45,bandit_agent,1,2016-03-02 23:56:49.557771,f,,A17ELSQUMU0QT6:3NGMS9VZTLISOQNRH6KXFVCRALGFFM,0.25,0,,,
21,bandit_agent,1,2016-03-02 23:51:38.283293,f,,A3I6HQOL7HCBGI:3WRFBPLXRAO9W6KFVZ28MRW39MVN3Q,0.010000000000000002,0,,,
26,bandit_agent,1,2016-03-02 23:51:50.413249,f,,A3VMKLJTSGYKHN:3GGAI1SQEVYRROVYCRY92FBXA90CMF,0.09,0,,,
9,bandit_agent,1,2016-03-02 23:50:41.820743,t,2016-03-02 23:53:32.822754,A2V3P1XE33NYC3:3AAJC4I4FGSEY90N185PXLK1FXQZJW,1.0000000000000004e-12,0,,,
30,bandit_agent,1,2016-03-02 23:52:18.684089,f,,A2Z7SWO6HS5OOI:33FBRBDW6OZC6ZTUIQOQXXA2Q4AC8Q,0.010000000000000002,0,,,
14,bandit_agent,1,2016-03-02 23:51:01.994209,f,,A1H6AZSS5DQ0KD:3COPXFW7XBCFVP4ZWK7Z72I0KNKKPW,0.09,0,,,
28,bandit_agent,1,2016-03-02 23:52:05.573232,f,,A2V3OLQMISGLWY:3QY5DC2MXRKH78KHCVFW1VDUK8UUFZ,1.0000000000000004e-12,0,,,
42,bandit_agent,1,2016-03-02 23:54:35.978185,t,2016-03-02 23:58:41.316492,A267TQL6LVWW7K:3B837J3LDOWYVLXMELKQ3J9P2ZKRSB,0.010000000000000002,0,,,
43,bandit_agent,1,2016-03-02 23:55:52.046739,f,,A17H399X6ZJVTC:3KRVW3HTZNL7Y5KU9DO9HKFFWCLMSI,0.16000000000000003,0,,,
8,bandit_agent,1,2016-03-02 23:50:29.386206,t,2016-03-02 23:53:54.755306,A3ULZGQA5AQMTD:3NKQQ8O39Y5K9O6LLPK6DVA98VEUDO,0.010000000000000002,0,,,
23,bandit_agent,1,2016-03-02 23:51:39.003019,f,,A2EHD9U0RJNXET:352YTHGROVD246H8SFCERCRD1AK4HL,0.010000000000000002,0,,,
33,bandit_agent,1,2016-03-02 23:52:55.925528,f,,A2WLGVXAVT2XTR:3JBT3HLQF82AKK3LWLA9UH6DOWWZPW,0.09,0,,,
32,bandit_agent,1,2016-03-02 23:52:48.064012,f,,A11R8G0FYA2UVQ:36TFCYNS44AT285ICQEJONOBU5PHXD,0.16000000000000003,0,,,
48,bandit_agent,1,2016-03-02 23:59:26.314487,f,,A3HKIWF1E4QCUT:3I02618YA06TYL9BQYB1DPRYMEHUP2,0.04000000000000001,0,,,
59,bandit_agent,1,2016-03-03 00:21:58.288619,f,,A19KF02ULCISTQ:3E13VNJ1NNVL82V9BFBXTQLPP3Q1IZ,0.09,1,,,
39,bandit_agent,1,2016-03-02 23:53:50.161555,f,,A2QQY4S73JO639:3QAPZX2QN4DHQSWPQTM5S5VYVFM20L,0.04000000000000001,0,,,
52,bandit_agent,1,2016-03-03 00:08:56.938856,f,,A2K0ZIL8MS0N3E:3R2UR8A0IAG3UPR5G3998WLC6R2XOG,0.010000000000000002,0,,,
50,bandit_agent,1,2016-03-03 00:00:12.57165,f,,A2VGEE0ZIZ8CBQ:3ZAZR5XV01IRQVUHRGO3AH76PDICZW,0.09,0,,,
27,bandit_agent,1,2016-03-02 23:51:57.726616,t,2016-03-03 00:05:02.610197,A1HK7CR71C8BCA:3SNVL38CI4SW10VVRFLTN2JTL45CKA,0.04000000000000001,0,,,
44,bandit_agent,1,2016-03-02 23:56:35.738378,t,2016-03-03 00:06:34.905459,A2O1EABDIDN9PX:3YOH7BII097S091VIWGYDU7I6BLKVH,0.010000000000000002,0,,,
53,bandit_agent,1,2016-03-03 00:08:57.065703,f,,ACJ6NSCIWMUZI:37QW5D2ZRGMSDGIQFCEQC2EKC7WS80,0.04000000000000001,0,,,
51,bandit_agent,1,2016-03-03 00:07:29.43132,f,,A26T3M57NK46L5:3KMS4QQVK2Q34CF5IHBUV84WIHWKFS,0.010000000000000002,0,,,
56,bandit_agent,1,2016-03-03 00:21:29.946165,f,,A29IC6S1JES2XW:3BWI6RSP7G9N3J8P4C2F9LEA0WIE7Z,0.04000000000000001,1,,,
54,bandit_agent,1,2016-03-03 00:20:50.673602,f,,A1WJ3EZ6LXN7B1:3VELCLL3GKJ1YBTJA75CQT8X9BY1F8,1.0000000000000004e-12,1,,,
60,bandit_agent,1,2016-03-03 00:22:04.520553,t,2016-03-03 00:23:53.503621,A3TGY06F7XQ9LL:3RXPCZQMQPB7CBPELRBU8E89AQY1G7,,1,,,
58,bandit_agent,1,2016-03-03 00:21:54.150512,f,,A3QJ14Y7N8VQ42:33CKWXB73JKA8WZB38QR1R4381E116,0.16000000000000003,1,,,
55,bandit_agent,1,2016-03-03 00:21:10.661424,f,,APQMFEY1KUL6A:373ERPL3YO8ZALA13LPGDO5B4IZTR3,1.0000000000000004e-12,1,,,
69,bandit_agent,1,2016-03-03 00:23:59.55938,f,,AYOLVUJBAIR0M:3WYP994K17R25OBBL39HAA6UNX2Y6Y,0.04000000000000001,1,,,
76,bandit_agent,1,2016-03-03 00:26:04.247946,f,,AK84YAHAWFLBU:326O153BMIY3KS9ZVP519DO6M7LEDS,0.09,1,,,
102,bandit_agent,1,2016-03-03 01:07:56.204037,f,,A10MH2GE01BXXE:3CCZ6YKWR7JRLJ3P887WJNZ3IT8956,0.25,2,,,
78,bandit_agent,1,2016-03-03 00:26:53.34786,f,,A14MOF84FC52MB:3IOEN3P9S7J5FI089E28WNVKGCU164,0.04000000000000001,1,,,
57,bandit_agent,1,2016-03-03 00:21:38.965735,f,,AXQAMAX5I3RMS:337RC3OW0523KFJD3WSZSUKXVBPVLU,0.010000000000000002,1,,,
77,bandit_agent,1,2016-03-03 00:26:41.090531,f,,A2YYQJ3JWA2KGD:39RP059MEHT8HJ3SYR2ERV5FSO0MBI,0.04000000000000001,1,,,
97,bandit_agent,1,2016-03-03 00:39:06.224997,f,,A1TM0YUPC90UFZ:3HFNH7HEMHEVTF9V66199FGHI2PGQG,0.09,1,,,
1426,bandit_agent,1,2016-03-04 04:56:04.705932,f,,AC9ZL7969MF4O:3Z7EFSHGN9E2L0U2QY0IDWRVHGXCXI,0.36,29,,,
88,bandit_agent,1,2016-03-03 00:29:02.089101,t,2016-03-03 00:32:43.65437,A30JCG2PKIYKZ5:3MYYFCXHJ37O4AMX89UW6CFCMA84GN,0.010000000000000002,1,,,
64,bandit_agent,1,2016-03-03 00:22:54.527048,f,,A2MUCL20GTQJA0:3AZHRG4CU4K6BAS8UT0ABF0Q1TM30X,0.04000000000000001,1,,,
66,bandit_agent,1,2016-03-03 00:23:05.666351,f,,A2REYY70X1GGJX:3VAR3R6G1P1DFOQX8VXHSX4JFIU8OK,1.0000000000000004e-12,1,,,
62,bandit_agent,1,2016-03-03 00:22:26.465452,f,,A243MVNC6OLKBF:3LRKMWOKB5HESD2FUNZXY4YKDM52ZD,0.09,1,,,
101,bandit_agent,1,2016-03-03 01:07:52.013591,f,,A3QAHF4UUBM7ZO:3WLEIWSYHOHS1S2LO1TQYXUFHWPH23,1.0000000000000004e-12,2,,,
92,bandit_agent,1,2016-03-03 00:31:12.802149,t,2016-03-03 00:33:21.078336,ACIHCWKHNFC7U:31EUONYN2V3BQ0MAGO8RKBORQGUVOB,1.0000000000000004e-12,1,,,
83,bandit_agent,1,2016-03-03 00:28:08.798514,f,,AR4UI9K92BUT3:31Q0U3WYDPFOJIEDSO7021VGBNE173,1.0000000000000004e-12,1,,,
61,bandit_agent,1,2016-03-03 00:22:26.063584,f,,A38TCWLTNL597T:3GLB5JMZFXV1465Q1KVP9G9IZN0GDB,0.25,1,,,
70,bandit_agent,1,2016-03-03 00:24:10.805993,f,,A1T1NCLCS561N2:3Y54SXRO1LLRQD2I7FKLIZSVBH3TU7,0.16000000000000003,1,,,
63,bandit_agent,1,2016-03-03 00:22:41.51101,t,2016-03-03 00:26:11.719853,A4158R4Y06ZB4:3R0T90IZ1SCRZEZC1O0EPAR0ENOGCB,1.0000000000000004e-12,1,,,
65,bandit_agent,1,2016-03-03 00:22:59.790078,f,,A3DRTP1PW3NSOH:3SKRO2GZ71RCEXLXBIW96602H7F1KA,0.010000000000000002,1,,,
84,bandit_agent,1,2016-03-03 00:28:12.132479,f,,A2LMA8XT8YEMXX:345LHZDEDXSMRW4OS0EU0MOXHIQU3R,1.0000000000000004e-12,1,,,
67,bandit_agent,1,2016-03-03 00:23:20.871377,f,,A9E9L9MWEZOPN:320DUZ38G7ME7S5IBGH0CE4V47XJGS,0.6400000000000001,1,,,
98,bandit_agent,1,2016-03-03 00:44:03.84797,t,2016-03-03 00:49:38.090261,A1XH05IKC77OXO:3QFUFYSY9YFIQAQ2XPOEORF0LV7F4Y,1.0000000000000004e-12,1,,,
91,bandit_agent,1,2016-03-03 00:30:21.165707,f,,A1XB9BSTNYPM6A:3EJPLAJKEMG2AELGHPB0OHFWTR7Z6R,0.09,1,,,
75,bandit_agent,1,2016-03-03 00:25:30.245689,f,,A3VTBPEINKBXKG:37ZHEEHM6WMKTLSSFSLJQUAD97S37X,0.25,1,,,
72,bandit_agent,1,2016-03-03 00:24:50.175961,f,,A142CND4VJ9JWD:3DEL4X4EL6LFO3V7MQI7ANJEK12YXT,0.010000000000000002,1,,,
99,bandit_agent,1,2016-03-03 01:04:38.374786,f,,A2F1II6ZA8JFIJ:37UEWGM5HT8Y11YS12567IMGCZA1R4,0.16000000000000003,1,,,
68,bandit_agent,1,2016-03-03 00:23:49.401661,f,,A2FVI0I4IWS4B:3A9AA95ATWMCD6JWPX3T5DZINXPP5G,0.010000000000000002,1,,,
81,bandit_agent,1,2016-03-03 00:27:08.802029,f,,AMPMTF5IAAMK8:3WT783CTPBHV8XR1L280OZ03YAWBCP,0.25,1,,,
82,bandit_agent,1,2016-03-03 00:27:37.846987,f,,A5T9IFDZ3W4T6:31LVTDXBL7ABR82WUCNPRXVUA5DRLY,0.04000000000000001,1,,,
74,bandit_agent,1,2016-03-03 00:24:55.740208,f,,A36470UBRH28GO:3F0BG9B9MPNL9OPG4DE9GO6QI8MY7X,0.25,1,,,
85,bandit_agent,1,2016-03-03 00:28:15.146127,f,,A2JXVJV8PHPQ8U:3LPW2N6LKT2P5BRS6J2NFJMHVEHU5H,0.04000000000000001,1,,,
73,bandit_agent,1,2016-03-03 00:24:53.034233,f,,A1NOINYD1FZ55T:37U1UTWH9VMGC1ID0NELMS9OQ5E8RT,1.0000000000000004e-12,1,,,
87,bandit_agent,1,2016-03-03 00:28:55.290124,f,,A2IP3ZAFYGV8M9:31LM9EDVOLSKHKM4YKUV2YDS5JJJN0,0.010000000000000002,1,,,
71,bandit_agent,1,2016-03-03 00:24:25.437278,f,,A1TWKRX6EG339M:3CN4LGXD5XOOQ17X2FG2DCMGR6WY4D,0.04000000000000001,1,,,
80,bandit_agent,1,2016-03-03 00:27:04.033261,t,2016-03-03 00:31:07.853933,A17KIXJGFCB7ZQ:3LUY3GC63Z0R0AXFDQIQ3XDEE3KP7V,0.16000000000000003,1,,,
86,bandit_agent,1,2016-03-03 00:28:51.988896,f,,A23C0K84LJ5ZV3:3907X2AHF05KE9097E1V76W63NYP2F,0.09,1,,,
79,bandit_agent,1,2016-03-03 00:26:55.510005,f,,A19V9DLZS91SDL:3KKG4CDWKIY9P0ZPU3OMEVTPIXD49W,0.25,1,,,
89,bandit_agent,1,2016-03-03 00:29:06.51441,f,,A2FQT81NDROLV5:3GNCZX450IN9JCVDKTUADOF4FBQPAM,0.25,1,,,
93,bandit_agent,1,2016-03-03 00:32:40.766388,f,,A2LXPQS44US390:34YB12FSQYO480B3EDUSS6WC81SGMT,0.09,1,,,
90,bandit_agent,1,2016-03-03 00:29:47.595731,f,,A3ROSVI8J6MN2Y:3U0SRXB7CD51F85H6P344PZJF0DRN0,0.4900000000000001,1,,,
