id,assignment_id,creation_time,event_type
1,3HL8HNGX451JNGWEEKK55ZQG7NK9FN,2016-03-02 23:50:38.81414,AssignmentAccepted
2,3C2NJ6JBKAHKBOOWRZO33HRB38VN2F,2016-03-02 23:50:39.280617,AssignmentAccepted
3,3AAJC4I4FGSEY90N185PXLK1FXQZJW,2016-03-02 23:50:39.724618,AssignmentAccepted
4,3W2LOLRXLBF072KE9CBOCXIFL57RKU,2016-03-02 23:50:40.181198,AssignmentAccepted
5,37W3JXSD6680Z3QHCLML8457BZVWYX,2016-03-02 23:50:40.620448,AssignmentAccepted
6,3W2LOLRXLBF072KE9CBOCXIFL57RKU,2016-03-02 23:50:41.054721,AssignmentReturned
7,3WRFBPLXRAO9W6KFVZ28MRW39MVN3Q,2016-03-02 23:50:46.794689,AssignmentAccepted
8,3PEIJLRY6TTBZY077P0JPQYY9T1WXR,2016-03-02 23:51:08.190691,AssignmentAccepted
9,33FBRBDW6OZC6ZTUIQOQXXA2Q4AC8Q,2016-03-02 23:51:08.630464,AssignmentAccepted
10,3NKQQ8O39Y5K9O6LLPK6DVA98VEUDO,2016-03-02 23:51:09.093417,AssignmentAccepted
11,3D4CH1LGEATP1GS9P4QNNKQS82K9GM,2016-03-02 23:51:09.532738,AssignmentAccepted
12,3G2UL9A02DEJQ4FAYUJHXXMXJYU767,2016-03-02 23:51:09.97856,AssignmentAccepted
13,3X65QVEQI0N7L6DDCFXU22W8A4ACLD,2016-03-02 23:51:10.424438,AssignmentAccepted
14,36TFCYNS44AT285ICQEJONOBU5PHXD,2016-03-02 23:51:10.871906,AssignmentAccepted
15,31LVTDXBL7ABR82WUCNPRXVUA5CRLX,2016-03-02 23:51:11.312292,AssignmentAccepted
16,3GGAI1SQEVYRROVYCRY92FBXA90CMF,2016-03-02 23:51:11.752413,AssignmentAccepted
17,32Q90QCQ1SLBYYF9N6RODQJW6GHEK4,2016-03-02 23:51:12.193717,AssignmentAccepted
18,39GAF6DQWR0QU8F9AMAG8FBJX5L1VV,2016-03-02 23:51:12.980208,AssignmentAccepted
19,3AQF3RZ558IW5XUGGDHTLPZEHMDF6J,2016-03-02 23:51:13.418956,AssignmentAccepted
20,3SNVL38CI4SW10VVRFLTN2JTL45CKA,2016-03-02 23:51:13.859472,AssignmentAccepted
21,3OF2M9AATGO99T65JT51Y0KEUMQZKV,2016-03-02 23:51:14.299124,AssignmentAccepted
22,382M9COHEHFP1UKLHKVQJDSU87FUEH,2016-03-02 23:51:14.74325,AssignmentAccepted
23,3LJ7UR74RHDUE23JVD7RWWO9NMRN4B,2016-03-02 23:51:15.179238,AssignmentAccepted
24,3TYCR1GOTCJKTZON4TH2D0XTJMVZLY,2016-03-02 23:51:15.621434,AssignmentAccepted
25,3COPXFW7XBCFVP4ZWK7Z72I0KNKKPW,2016-03-02 23:51:16.060773,AssignmentAccepted
26,3OF2M9AATGO99T65JT51Y0KEUMQZKV,2016-03-02 23:51:16.498956,AssignmentReturned
27,3OF2M9AATGO99T65JT51Y0KEUMQZKV,2016-03-02 23:51:16.944452,AssignmentAccepted
28,3W2LOLRXLBF072KE9CBOCXIFL57RKU,2016-03-02 23:51:18.835057,AssignmentAccepted
29,3N2BF7Y2VQUI8W6EYJCAD68DN14MHX,2016-03-02 23:51:19.279578,AssignmentAccepted
30,3A4NIXBJ76ZKUSP4P4R85Y1K4IDML4,2016-03-02 23:51:19.72867,AssignmentAccepted
31,3X73LLYYQ1EOQEREAKRAQLXDSRFNHZ,2016-03-02 23:51:32.332831,AssignmentAccepted
32,3JBT3HLQF82AKK3LWLA9UH6DOWWZPW,2016-03-02 23:51:32.769227,AssignmentAccepted
33,3X73LLYYQ1EOQEREAKRAQLXDSRFNHZ,2016-03-02 23:51:33.209972,AssignmentReturned
34,3N2BF7Y2VQUI8W6EYJCAD68DN14MHX,2016-03-02 23:51:39.453992,AssignmentReturned
35,3KV0LJBBH2LVXQKHUOO4RAAJAA2RMZ,2016-03-02 23:51:46.270902,AssignmentAccepted
36,3QJOXOW4XJR6OMFC8I44S3B0VLCEM9,2016-03-02 23:51:46.706155,AssignmentAccepted
37,3KV0LJBBH2LVXQKHUOO4RAAJAA2RMZ,2016-03-02 23:51:47.143994,AssignmentReturned
38,3KV0LJBBH2LVXQKHUOO4RAAJAA2RMZ,2016-03-02 23:51:47.594104,AssignmentAccepted
39,3NGMS9VZTLISOQNRH6KXFVCRALGFFM,2016-03-02 23:51:48.027755,AssignmentAccepted
40,3VD82FOHKQOFRRGAP7DMUJ0259FCOU,2016-03-02 23:51:48.466744,AssignmentAccepted
41,352YTHGROVD246H8SFCERCRD1AK4HL,2016-03-02 23:52:06.957595,AssignmentAccepted
42,3K3R2QNK8B386YT499F4RZRJHA09UN,2016-03-02 23:52:07.414669,AssignmentAccepted
43,3S4AW7T80BI4Q20YJ0RCJ4KKIRT4LS,2016-03-02 23:52:07.85445,AssignmentAccepted
44,3OWEPKL089CRXPL2XB5YZ88JEOHN7V,2016-03-02 23:52:08.290805,AssignmentAccepted
45,3QY5DC2MXRKH78KHCVFW1VDUK8UUFZ,2016-03-02 23:52:08.731305,AssignmentAccepted
46,3PDJHANYK5GGJTLMB35TOABRX1PH6I,2016-03-02 23:52:09.179626,AssignmentAccepted
47,3YOH7BII097S091VIWGYDU7I6BLKVH,2016-03-02 23:52:09.634853,AssignmentAccepted
48,3D4CH1LGEATP1GS9P4QNNKQS82K9GM,2016-03-02 23:52:15.141501,AssignmentSubmitted
49,3B837J3LDOWYVLXMELKQ3J9P2ZKRSB,2016-03-02 23:52:31.392726,AssignmentAccepted
50,3ZGVPD4G6TH8CCWSD2JTZR7ADZHZT1,2016-03-02 23:52:34.996599,AssignmentAccepted
51,3QAPZX2QN4DHQSWPQTM5S5VYVFM20L,2016-03-02 23:52:48.597074,AssignmentAccepted
52,3QAPZX2QN4DHQSWPQTM5S5VYVFM20L,2016-03-02 23:53:02.133805,AssignmentReturned
53,3QAPZX2QN4DHQSWPQTM5S5VYVFM20L,2016-03-02 23:53:11.790003,AssignmentAccepted
54,3S4AW7T80BI4Q20YJ0RCJ4KKIRT4LS,2016-03-02 23:53:30.214676,AssignmentSubmitted
55,3LJ7UR74RHDUE23JVD7RWWO9NMRN4B,2016-03-02 23:53:31.334388,AssignmentSubmitted
56,3AAJC4I4FGSEY90N185PXLK1FXQZJW,2016-03-02 23:53:32.247926,AssignmentSubmitted
57,31LVTDXBL7ABR82WUCNPRXVUA5CRLX,2016-03-02 23:53:33.557318,AssignmentSubmitted
58,3HL8HNGX451JNGWEEKK55ZQG7NK9FN,2016-03-02 23:53:34.436186,AssignmentSubmitted
59,37W3JXSD6680Z3QHCLML8457BZVWYX,2016-03-02 23:53:35.367202,AssignmentSubmitted
60,3W2LOLRXLBF072KE9CBOCXIFL57RKU,2016-03-02 23:53:36.252282,AssignmentSubmitted
61,3NKQQ8O39Y5K9O6LLPK6DVA98VEUDO,2016-03-02 23:53:54.139878,AssignmentSubmitted
62,3X65QVEQI0N7L6DDCFXU22W8A4ACLD,2016-03-02 23:53:55.381015,AssignmentSubmitted
63,3PEIJLRY6TTBZY077P0JPQYY9T1WXR,2016-03-02 23:53:56.341712,AssignmentSubmitted
64,3G2UL9A02DEJQ4FAYUJHXXMXJYU767,2016-03-02 23:53:57.383313,AssignmentSubmitted
65,3GGAI1SQEVYRROVYCRY92FBXA90CMF,2016-03-02 23:53:58.355568,AssignmentSubmitted
66,39GAF6DQWR0QU8F9AMAG8FBJX5L1VV,2016-03-02 23:53:59.242212,AssignmentSubmitted
67,33FBRBDW6OZC6ZTUIQOQXXA2Q4AC8Q,2016-03-02 23:54:00.235481,AssignmentSubmitted
68,33CID57104TJ86HUJMMT9ZSE4RXL3O,2016-03-02 23:54:02.025235,AssignmentAccepted
69,3WRFBPLXRAO9W6KFVZ28MRW39MVN3Q,2016-03-02 23:54:02.741949,AssignmentSubmitted
70,3KRVW3HTZNL7Y5KU9DO9HKFFWCLMSI,2016-03-02 23:54:16.964288,AssignmentAccepted
71,3JMSRU9HQIUPE99LMA5VFZUDMEOEVQ,2016-03-02 23:54:26.722735,AssignmentAccepted
72,3QJOXOW4XJR6OMFC8I44S3B0VLCEM9,2016-03-02 23:54:45.824767,AssignmentSubmitted
73,3COPXFW7XBCFVP4ZWK7Z72I0KNKKPW,2016-03-02 23:54:46.688716,AssignmentSubmitted
74,3QY5DC2MXRKH78KHCVFW1VDUK8UUFZ,2016-03-02 23:54:47.510879,AssignmentSubmitted
75,3ZGVPD4G6TH8CCWSD2JTZR7ADZHZT1,2016-03-02 23:55:13.418405,AssignmentReturned
