id,type,info_in_id,info_out_id,node_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
1,mutation,1,3,6,1,2016-03-02 23:49:57.473837,f,,,,,,
2,mutation,2,4,6,1,2016-03-02 23:49:57.489825,f,,,,,,
3,mutation,1,20,7,1,2016-03-02 23:50:25.687209,f,,,,,,
4,mutation,2,21,7,1,2016-03-02 23:50:25.702907,f,,,,,,
9,mutation,1,41,10,1,2016-03-02 23:50:43.019652,f,,,,,,
10,mutation,2,42,10,1,2016-03-02 23:50:43.035801,f,,,,,,
11,mutation,2,59,11,1,2016-03-02 23:50:52.939747,f,,,,,,
12,mutation,1,60,11,1,2016-03-02 23:50:52.954902,f,,,,,,
13,mutation,2,69,12,1,2016-03-02 23:50:57.022107,f,,,,,,
14,mutation,1,70,12,1,2016-03-02 23:50:57.035581,f,,,,,,
15,mutation,2,83,13,1,2016-03-02 23:51:00.634316,f,,,,,,
16,mutation,1,84,13,1,2016-03-02 23:51:00.655211,f,,,,,,
17,mutation,1,89,14,1,2016-03-02 23:51:02.056853,f,,,,,,
18,mutation,2,90,14,1,2016-03-02 23:51:02.076106,f,,,,,,
21,mutation,1,99,16,1,2016-03-02 23:51:04.143967,f,,,,,,
22,mutation,2,100,16,1,2016-03-02 23:51:04.159476,f,,,,,,
23,mutation,1,129,17,1,2016-03-02 23:51:10.780671,f,,,,,,
24,mutation,2,131,17,1,2016-03-02 23:51:10.797079,f,,,,,,
25,mutation,1,167,18,1,2016-03-02 23:51:17.41448,f,,,,,,
26,mutation,2,168,18,1,2016-03-02 23:51:17.428288,f,,,,,,
27,mutation,1,193,19,1,2016-03-02 23:51:23.031153,f,,,,,,
28,mutation,2,194,19,1,2016-03-02 23:51:23.047138,f,,,,,,
29,mutation,2,226,20,1,2016-03-02 23:51:28.104341,f,,,,,,
30,mutation,1,227,20,1,2016-03-02 23:51:28.1246,f,,,,,,
31,mutation,2,293,21,1,2016-03-02 23:51:38.347246,f,,,,,,
32,mutation,1,294,21,1,2016-03-02 23:51:38.362324,f,,,,,,
33,mutation,1,299,22,1,2016-03-02 23:51:38.852829,f,,,,,,
34,mutation,2,300,22,1,2016-03-02 23:51:38.870173,f,,,,,,
35,mutation,2,304,23,1,2016-03-02 23:51:39.065644,f,,,,,,
36,mutation,1,305,23,1,2016-03-02 23:51:39.080379,f,,,,,,
37,mutation,1,344,24,1,2016-03-02 23:51:45.406727,f,,,,,,
38,mutation,2,345,24,1,2016-03-02 23:51:45.426486,f,,,,,,
39,mutation,1,368,25,1,2016-03-02 23:51:49.035919,f,,,,,,
