id,origin_id,destination_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
1,1,6,1,2016-03-02 23:49:57.380346,f,,,,,,
2,1,7,1,2016-03-02 23:50:25.638031,f,,,,,,
5,1,10,1,2016-03-02 23:50:42.972331,f,,,,,,
6,1,11,1,2016-03-02 23:50:52.891403,f,,,,,,
7,1,12,1,2016-03-02 23:50:56.978147,f,,,,,,
8,1,13,1,2016-03-02 23:51:00.579328,f,,,,,,
9,1,14,1,2016-03-02 23:51:02.009519,f,,,,,,
11,1,16,1,2016-03-02 23:51:04.102328,f,,,,,,
12,1,17,1,2016-03-02 23:51:10.727249,f,,,,,,
13,1,18,1,2016-03-02 23:51:17.36358,f,,,,,,
14,1,19,1,2016-03-02 23:51:22.979754,f,,,,,,
15,1,20,1,2016-03-02 23:51:28.042249,f,,,,,,
16,1,21,1,2016-03-02 23:51:38.300286,f,,,,,,
17,1,22,1,2016-03-02 23:51:38.80939,f,,,,,,
18,1,23,1,2016-03-02 23:51:39.017683,f,,,,,,
19,1,24,1,2016-03-02 23:51:45.356558,f,,,,,,
20,1,25,1,2016-03-02 23:51:48.988655,f,,,,,,
21,1,26,1,2016-03-02 23:51:50.432122,f,,,,,,
23,1,28,1,2016-03-02 23:52:05.590914,f,,,,,,
24,1,29,1,2016-03-02 23:52:17.973917,f,,,,,,
25,1,30,1,2016-03-02 23:52:18.698263,f,,,,,,
26,1,31,1,2016-03-02 23:52:31.983472,f,,,,,,
27,1,32,1,2016-03-02 23:52:48.079977,f,,,,,,
28,1,33,1,2016-03-02 23:52:55.940749,f,,,,,,
29,1,34,1,2016-03-02 23:53:03.730726,f,,,,,,
30,1,35,1,2016-03-02 23:53:06.345254,f,,,,,,
31,1,36,1,2016-03-02 23:53:09.585414,f,,,,,,
32,1,37,1,2016-03-02 23:53:25.977414,f,,,,,,
4,1,9,1,2016-03-02 23:50:41.838462,t,2016-03-02 23:53:32.835241,,,,,
33,1,38,1,2016-03-02 23:53:45.472706,f,,,,,,
34,1,39,1,2016-03-02 23:53:50.179192,f,,,,,,
3,1,8,1,2016-03-02 23:50:29.401706,t,2016-03-02 23:53:54.767377,,,,,
10,1,15,1,2016-03-02 23:51:03.190712,t,2016-03-02 23:53:56.753738,,,,,
36,1,41,1,2016-03-02 23:54:06.233348,f,,,,,,
38,1,43,1,2016-03-02 23:55:52.063631,f,,,,,,
40,1,45,1,2016-03-02 23:56:49.573341,f,,,,,,
41,1,46,1,2016-03-02 23:56:51.931893,f,,,,,,
42,1,47,1,2016-03-02 23:57:38.022779,f,,,,,,
35,1,40,1,2016-03-02 23:53:56.640918,t,2016-03-02 23:58:23.390823,,,,,
37,1,42,1,2016-03-02 23:54:35.994104,t,2016-03-02 23:58:41.329136,,,,,
43,1,48,1,2016-03-02 23:59:26.331996,f,,,,,,
45,1,50,1,2016-03-03 00:00:12.587295,f,,,,,,
44,1,49,1,2016-03-03 00:00:02.396218,t,2016-03-03 00:04:04.024413,,,,,
22,1,27,1,2016-03-02 23:51:57.744005,t,2016-03-03 00:05:02.624487,,,,,
39,1,44,1,2016-03-02 23:56:35.762441,t,2016-03-03 00:06:34.917954,,,,,
46,1,51,1,2016-03-03 00:07:29.447568,f,,,,,,
47,1,52,1,2016-03-03 00:08:56.955299,f,,,,,,
48,1,53,1,2016-03-03 00:08:57.082523,f,,,,,,
49,25,54,1,2016-03-03 00:20:50.691066,f,,,,,,
50,31,55,1,2016-03-03 00:21:10.680913,f,,,,,,
51,22,56,1,2016-03-03 00:21:29.963818,f,,,,,,
52,48,57,1,2016-03-03 00:21:38.983577,f,,,,,,
53,19,58,1,2016-03-03 00:21:54.16743,f,,,,,,
54,47,59,1,2016-03-03 00:21:58.305161,f,,,,,,
56,50,61,1,2016-03-03 00:22:26.087018,f,,,,,,
57,13,62,1,2016-03-03 00:22:26.48263,f,,,,,,
59,16,64,1,2016-03-03 00:22:54.545584,f,,,,,,
60,41,65,1,2016-03-03 00:22:59.809783,f,,,,,,
61,36,66,1,2016-03-03 00:23:05.686096,f,,,,,,
62,45,67,1,2016-03-03 00:23:20.892154,f,,,,,,
63,11,68,1,2016-03-03 00:23:49.423734,f,,,,,,
55,34,60,1,2016-03-03 00:22:04.539946,t,2016-03-03 00:23:53.51778,,,,,
64,47,69,1,2016-03-03 00:23:59.577275,f,,,,,,
65,31,70,1,2016-03-03 00:24:10.823536,f,,,,,,
66,12,71,1,2016-03-03 00:24:25.456082,f,,,,,,
67,16,72,1,2016-03-03 00:24:50.194907,f,,,,,,
68,22,73,1,2016-03-03 00:24:53.053653,f,,,,,,
69,16,74,1,2016-03-03 00:24:55.761302,f,,,,,,
70,33,75,1,2016-03-03 00:25:30.26575,f,,,,,,
71,45,76,1,2016-03-03 00:26:04.267852,f,,,,,,
58,25,63,1,2016-03-03 00:22:41.535727,t,2016-03-03 00:26:11.733463,,,,,
72,17,77,1,2016-03-03 00:26:41.109929,f,,,,,,
73,25,78,1,2016-03-03 00:26:53.367821,f,,,,,,
74,16,79,1,2016-03-03 00:26:55.5314,f,,,,,,
76,17,81,1,2016-03-03 00:27:08.820615,f,,,,,,
77,24,82,1,2016-03-03 00:27:37.866097,f,,,,,,
78,47,83,1,2016-03-03 00:28:08.817096,f,,,,,,
79,32,84,1,2016-03-03 00:28:12.150885,f,,,,,,
80,25,85,1,2016-03-03 00:28:15.166559,f,,,,,,
81,52,86,1,2016-03-03 00:28:52.018331,f,,,,,,
82,39,87,1,2016-03-03 00:28:55.311103,f,,,,,,
84,24,89,1,2016-03-03 00:29:06.547914,f,,,,,,
85,24,90,1,2016-03-03 00:29:47.615495,f,,,,,,
86,25,91,1,2016-03-03 00:30:21.185006,f,,,,,,
75,16,80,1,2016-03-03 00:27:04.052872,t,2016-03-03 00:31:07.868237,,,,,
88,25,93,1,2016-03-03 00:32:40.788732,f,,,,,,
83,18,88,1,2016-03-03 00:29:02.10973,t,2016-03-03 00:32:43.668734,,,,,
87,25,92,1,2016-03-03 00:31:12.826871,t,2016-03-03 00:33:21.092152,,,,,
89,34,94,1,2016-03-03 00:33:54.217125,f,,,,,,
90,34,95,1,2016-03-03 00:34:24.465368,f,,,,,,
91,6,96,1,2016-03-03 00:34:41.988765,f,,,,,,
92,43,97,1,2016-03-03 00:39:06.244274,f,,,,,,
93,45,98,1,2016-03-03 00:44:03.870588,t,2016-03-03 00:49:38.103935,,,,,
94,53,99,1,2016-03-03 01:04:38.3944,f,,,,,,
95,67,100,1,2016-03-03 01:07:26.448544,f,,,,,,
96,75,101,1,2016-03-03 01:07:52.033763,f,,,,,,
97,75,102,1,2016-03-03 01:07:56.223675,f,,,,,,
98,93,103,1,2016-03-03 01:08:33.546728,f,,,,,,
99,61,104,1,2016-03-03 01:09:35.822923,f,,,,,,
102,89,107,1,2016-03-03 01:10:33.69129,f,,,,,,
103,90,108,1,2016-03-03 01:11:49.083087,f,,,,,,
100,86,105,1,2016-03-03 01:09:43.32069,t,2016-03-03 01:12:38.923543,,,,,
106,74,111,1,2016-03-03 01:12:41.472815,f,,,,,,
104,89,109,1,2016-03-03 01:11:57.167226,t,2016-03-03 01:13:07.376889,,,,,
107,89,112,1,2016-03-03 01:13:08.870527,f,,,,,,
108,74,113,1,2016-03-03 01:13:22.360117,f,,,,,,
109,90,114,1,2016-03-03 01:13:35.510664,f,,,,,,
111,75,116,1,2016-03-03 01:14:51.961094,f,,,,,,
112,99,117,1,2016-03-03 01:15:13.905557,f,,,,,,
101,74,106,1,2016-03-03 01:10:27.715825,t,2016-03-03 01:15:28.612305,,,,,
113,89,118,1,2016-03-03 01:16:01.070484,f,,,,,,
114,99,119,1,2016-03-03 01:16:06.796461,f,,,,,,
115,67,120,1,2016-03-03 01:16:12.224462,f,,,,,,
116,90,121,1,2016-03-03 01:16:12.959276,f,,,,,,
117,75,122,1,2016-03-03 01:16:13.86686,f,,,,,,
123,90,128,1,2016-03-03 01:17:01.966707,f,,,,,,
138,74,143,1,2016-03-03 01:23:50.842194,f,,,,,,
118,67,123,1,2016-03-03 01:16:26.91967,f,,,,,,
119,82,124,1,2016-03-03 01:16:35.515868,f,,,,,,
120,79,125,1,2016-03-03 01:16:44.132589,f,,,,,,
122,67,127,1,2016-03-03 01:17:00.621006,f,,,,,,
