id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2017-03-10 00:23:09.10173,,,,,,f,,question,1,1,engagement,10
2,2017-03-10 00:23:09.148635,,,,,,f,,question,1,2,difficulty,10
3,2017-03-10 00:23:09.176339,,,,,,f,,question,1,3,"",""
4,2017-03-10 00:24:03.146415,,,,,,f,,question,2,1,engagement,10
5,2017-03-10 00:24:03.256599,,,,,,f,,question,2,2,difficulty,8
6,2017-03-10 00:24:17.627777,,,,,,f,,question,6,1,engagement,9
7,2017-03-10 00:24:17.696321,,,,,,f,,question,6,2,difficulty,6
8,2017-03-10 00:24:17.745772,,,,,,f,,question,6,3,"",""
9,2017-03-10 00:24:17.813815,,,,,,f,,question,6,4,"",""
10,2017-03-10 00:24:22.363754,,,,,,f,,question,8,1,engagement,5
11,2017-03-10 00:24:22.442659,,,,,,f,,question,8,2,difficulty,5
12,2017-03-10 00:24:41.80937,,,,,,f,,question,4,1,engagement,10
13,2017-03-10 00:24:42.007595,,,,,,f,,question,4,2,difficulty,10
14,2017-03-10 00:24:42.198056,,,,,,f,,question,4,3,"",""
15,2017-03-10 00:24:42.39577,,,,,,f,,question,4,4,"",""
16,2017-03-10 00:25:20.761891,,,,,,f,,question,12,1,engagement,9
17,2017-03-10 00:25:21.315572,,,,,,f,,question,12,2,difficulty,1
18,2017-03-10 00:25:21.375028,,,,,,f,,question,12,3,"",""
19,2017-03-10 00:25:24.107814,,,,,,f,,question,7,1,engagement,1
20,2017-03-10 00:25:24.146904,,,,,,f,,question,7,2,difficulty,1
21,2017-03-10 00:25:24.197063,,,,,,f,,question,7,3,"",""
22,2017-03-10 00:25:24.241823,,,,,,f,,question,7,4,"",""
23,2017-03-10 00:25:51.254641,,,,,,f,,question,3,1,engagement,10
24,2017-03-10 00:25:51.309513,,,,,,f,,question,3,2,difficulty,6
25,2017-03-10 00:25:51.394276,,,,,,f,,question,3,3,"",""
26,2017-03-10 00:25:54.1036,,,,,,f,,question,13,1,engagement,10
27,2017-03-10 00:25:54.15355,,,,,,f,,question,13,2,difficulty,10
28,2017-03-10 00:25:54.195529,,,,,,f,,question,13,3,"",""
29,2017-03-10 00:25:54.667575,,,,,,f,,question,21,1,engagement,10
30,2017-03-10 00:25:54.914596,,,,,,f,,question,21,2,difficulty,8
31,2017-03-10 00:25:55.116748,,,,,,f,,question,21,3,"",""
32,2017-03-10 00:25:55.308944,,,,,,f,,question,21,4,"",""
33,2017-03-10 00:26:00.996583,,,,,,f,,question,25,1,engagement,10
34,2017-03-10 00:26:01.357535,,,,,,f,,question,25,2,difficulty,4
35,2017-03-10 00:26:01.704626,,,,,,f,,question,25,3,"",""
36,2017-03-10 00:26:02.048675,,,,,,f,,question,25,4,"",""
37,2017-03-10 00:26:23.557552,,,,,,f,,question,16,1,engagement,10
38,2017-03-10 00:26:23.624075,,,,,,f,,question,16,2,difficulty,9
39,2017-03-10 00:26:23.682065,,,,,,f,,question,16,3,"",""
40,2017-03-10 00:26:27.774372,,,,,,f,,question,20,1,engagement,10
41,2017-03-10 00:26:27.860076,,,,,,f,,question,20,2,difficulty,8
42,2017-03-10 00:26:27.942001,,,,,,f,,question,20,3,"",""
43,2017-03-10 00:26:28.071885,,,,,,f,,question,20,4,"",""
