id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2017-03-10 00:22:07.171528,,,,,,f,,1,2,1,6,1,2017-03-10 00:22:07.178665,received
2,2017-03-10 00:22:07.174356,,,,,,f,,1,1,1,6,1,2017-03-10 00:22:07.178688,received
61,2017-03-10 00:26:44.241478,,,,,,f,,31,2,1,36,1,2017-03-10 00:26:44.247295,received
62,2017-03-10 00:26:44.243059,,,,,,f,,31,1,1,36,1,2017-03-10 00:26:44.247316,received
3,2017-03-10 00:22:11.6981,,,,,,f,,2,2,1,7,1,2017-03-10 00:22:11.702757,received
4,2017-03-10 00:22:11.699347,,,,,,f,,2,1,1,7,1,2017-03-10 00:22:11.702778,received
5,2017-03-10 00:22:17.450391,,,,,,f,,3,2,1,8,1,2017-03-10 00:22:17.454522,received
6,2017-03-10 00:22:17.451449,,,,,,f,,3,1,1,8,1,2017-03-10 00:22:17.454543,received
63,2017-03-10 00:27:34.72361,,,,,,f,,32,2,1,37,1,2017-03-10 00:27:34.727882,received
64,2017-03-10 00:27:34.724779,,,,,,f,,32,1,1,37,1,2017-03-10 00:27:34.727903,received
7,2017-03-10 00:22:25.607334,,,,,,f,,4,2,1,9,1,2017-03-10 00:22:25.611374,received
8,2017-03-10 00:22:25.608403,,,,,,f,,4,1,1,9,1,2017-03-10 00:22:25.611394,received
9,2017-03-10 00:22:39.548802,,,,,,f,,5,2,1,10,1,2017-03-10 00:22:39.552819,received
10,2017-03-10 00:22:39.549837,,,,,,f,,5,1,1,10,1,2017-03-10 00:22:39.552839,received
65,2017-03-10 00:32:39.120679,,,,,,f,,33,1,1,38,1,2017-03-10 00:32:39.125161,received
66,2017-03-10 00:32:39.122171,,,,,,f,,33,2,1,38,1,2017-03-10 00:32:39.125182,received
11,2017-03-10 00:22:41.057556,,,,,,f,,6,2,1,11,1,2017-03-10 00:22:41.061823,received
12,2017-03-10 00:22:41.058605,,,,,,f,,6,1,1,11,1,2017-03-10 00:22:41.061844,received
13,2017-03-10 00:23:02.346262,,,,,,f,,7,1,1,12,1,2017-03-10 00:23:02.351929,received
14,2017-03-10 00:23:02.348093,,,,,,f,,7,2,1,12,1,2017-03-10 00:23:02.351954,received
67,2017-03-10 00:37:35.098046,,,,,,f,,34,2,1,39,1,2017-03-10 00:37:35.102845,received
68,2017-03-10 00:37:35.099282,,,,,,f,,34,1,1,39,1,2017-03-10 00:37:35.102867,received
15,2017-03-10 00:23:12.074153,,,,,,f,,8,1,1,13,1,2017-03-10 00:23:12.078642,received
16,2017-03-10 00:23:12.075322,,,,,,f,,8,2,1,13,1,2017-03-10 00:23:12.078669,received
17,2017-03-10 00:23:14.76519,,,,,,f,,9,1,1,14,1,2017-03-10 00:23:14.769521,received
18,2017-03-10 00:23:14.766458,,,,,,f,,9,2,1,14,1,2017-03-10 00:23:14.769543,received
69,2017-03-10 00:41:36.183284,,,,,,f,,35,2,1,40,1,2017-03-10 00:41:36.187781,received
70,2017-03-10 00:41:36.184547,,,,,,f,,35,1,1,40,1,2017-03-10 00:41:36.187802,received
19,2017-03-10 00:23:20.834119,,,,,,f,,10,2,1,15,1,2017-03-10 00:23:20.838233,received
20,2017-03-10 00:23:20.835226,,,,,,f,,10,1,1,15,1,2017-03-10 00:23:20.838255,received
21,2017-03-10 00:23:22.247241,,,,,,f,,11,1,1,16,1,2017-03-10 00:23:22.251219,received
22,2017-03-10 00:23:22.248219,,,,,,f,,11,2,1,16,1,2017-03-10 00:23:22.25124,received
71,2017-03-10 00:41:53.31528,,,,,,f,,36,2,1,41,1,2017-03-10 00:41:53.319674,received
72,2017-03-10 00:41:53.316454,,,,,,f,,36,1,1,41,1,2017-03-10 00:41:53.319696,received
23,2017-03-10 00:23:26.7582,,,,,,f,,12,1,1,17,1,2017-03-10 00:23:26.762463,received
24,2017-03-10 00:23:26.759448,,,,,,f,,12,2,1,17,1,2017-03-10 00:23:26.762485,received
25,2017-03-10 00:23:34.205738,,,,,,f,,13,2,1,18,1,2017-03-10 00:23:34.20997,received
26,2017-03-10 00:23:34.206886,,,,,,f,,13,1,1,18,1,2017-03-10 00:23:34.209991,received
73,2017-03-10 00:41:59.017516,,,,,,f,,37,2,1,42,1,2017-03-10 00:41:59.021464,received
74,2017-03-10 00:41:59.018597,,,,,,f,,37,1,1,42,1,2017-03-10 00:41:59.021485,received
27,2017-03-10 00:23:34.44457,,,,,,f,,14,2,1,19,1,2017-03-10 00:23:34.448646,received
28,2017-03-10 00:23:34.445727,,,,,,f,,14,1,1,19,1,2017-03-10 00:23:34.448668,received
29,2017-03-10 00:23:37.647456,,,,,,f,,15,1,1,20,1,2017-03-10 00:23:37.651605,received
30,2017-03-10 00:23:37.648586,,,,,,f,,15,2,1,20,1,2017-03-10 00:23:37.651626,received
75,2017-03-10 00:42:52.98306,,,,,,f,,38,1,1,43,1,2017-03-10 00:42:52.987318,received
76,2017-03-10 00:42:52.984208,,,,,,f,,38,2,1,43,1,2017-03-10 00:42:52.98734,received
31,2017-03-10 00:23:43.623155,,,,,,f,,16,2,1,21,1,2017-03-10 00:23:43.627953,received
32,2017-03-10 00:23:43.62465,,,,,,f,,16,1,1,21,1,2017-03-10 00:23:43.627975,received
