id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
1,genetic_source,1,2016-03-10 17:20:13.586194,f,,,,,,,
2,bandit,1,2016-03-10 17:20:13.606668,f,,,10,3,0,,
3,bandit,1,2016-03-10 17:20:13.609073,f,,,10,3,1,,
4,bandit,1,2016-03-10 17:20:13.611217,f,,,10,8,2,,
5,bandit,1,2016-03-10 17:20:13.613471,f,,,10,10,3,,
34,bandit_agent,1,2016-03-10 17:26:11.828735,f,,AAASQIW3J32OL:3OLF68YTN91XSZ6J6QY51U10EKNAFJ,0.16810000000000003,0,,,
45,bandit_agent,1,2016-03-10 17:33:51.612919,f,,A3205NXKRZBL8G:3FK0YFF9PZG6GKV7H0U5F3IZNOCVVT,0.22090000000000004,0,,,
43,bandit_agent,1,2016-03-10 17:30:48.372262,t,2016-03-10 17:39:25.968421,ASROVV61167I6:3JNQLM5FT4MUNOLBFM8OQPNMZSHL2S,,0,,,
17,bandit_agent,1,2016-03-10 17:22:49.247217,t,2016-03-10 17:29:09.154405,AV22FQTJNBUZT:34T446B1C0EUOAORNMBB4I4K8LJ0C7,0.0036,0,,,
47,bandit_agent,1,2016-03-10 17:35:45.259057,f,,A36470UBRH28GO:3EG49X351UCD5JL1G7NFRWZLM6SX66,0.0016,0,,,
22,bandit_agent,1,2016-03-10 17:23:18.040013,f,,A2TH9DIRISH8FE:3UWN2HHPUY5DGN5ULE39UZ4F2HGNSZ,0.28090000000000004,0,,,
40,bandit_agent,1,2016-03-10 17:28:40.087988,f,,A154X03NKVZZL1:3QY5DC2MXRKH78KHCVFW1VDULNFFU0,0.5476,0,,,
31,bandit_agent,1,2016-03-10 17:26:03.236603,f,,A7KLTVEIASF4J:3TEM0PF1Q5X4T2U5NI6MOOM2TLV0D7,0.1936,0,,,
32,bandit_agent,1,2016-03-10 17:26:07.952126,f,,AA3R1CNZAEH2O:3ZWFC4W1UU7PRGS081KRWKQAEOBFRW,0.0324,0,,,
18,bandit_agent,1,2016-03-10 17:22:55.731797,f,,A2WAQLPXT615HQ:3ZSANO2JCF71SVSDNQKWMUV60QUFSK,0.24009999999999998,0,,,
36,bandit_agent,1,2016-03-10 17:27:27.04742,t,2016-03-10 17:32:48.681486,A1QTQISKEHWSKZ:3S0TNUHWKTIMBRZ8IMJ1H3SKCJ7D87,,0,,,
38,bandit_agent,1,2016-03-10 17:27:32.764479,f,,A2V9WQ4ZG1NUNP:35BLDD71I6XNP40HIXJ809VVBZIVZT,0.28090000000000004,0,,,
6,bandit_agent,1,2016-03-10 17:21:22.148228,f,,AJ34WB9Z37ILU:3NQL1CS15R8NKEQCMBHPM2MT55EVY2,0.5184,0,,,
41,bandit_agent,1,2016-03-10 17:29:38.859658,f,,AKLV0WIZZ356X:3X31TUMD7XMNY33FWI8AL6DH7M3L1B,0.5476,0,,,
7,bandit_agent,1,2016-03-10 17:21:36.770422,f,,A2541C8MY0BYV3:33OOO72IVHLV4JLILOZLOT6P5WGTCC,0.4096,0,,,
10,bandit_agent,1,2016-03-10 17:21:58.530941,f,,A1CSDIX05PK9V:358010RM5ETYK902HFVN3OFK3ZKVXW,0.0121,0,,,
24,bandit_agent,1,2016-03-10 17:23:31.550914,f,,A2QQY4S73JO639:3QEMNNSB2XZIBDUP8HRV33WP1Z1D7K,0.25,0,,,
52,bandit_agent,1,2016-03-10 18:01:48.701714,f,,A1D01TUSE0H5TW:30H4UDGLT2IALD42HWKFMFA4A7ZPML,0.2025,0,,,
29,bandit_agent,1,2016-03-10 17:25:07.572965,f,,A2WCXJZEXXR60A:3Q5ZZ9ZEVOFR7EKF3G1IJR4SZ2985U,0.0324,0,,,
37,bandit_agent,1,2016-03-10 17:27:30.278734,f,,A3MEXVF979S444:3L6L49WXW0XQODXDRDB52FONXGD54K,0.2025,0,,,
8,bandit_agent,1,2016-03-10 17:21:39.409419,f,,A002160837SWJFPIAI7L7:33M4IA01QG16R2JL8VQD2RQHIT6RXY,0.1024,0,,,
35,bandit_agent,1,2016-03-10 17:27:07.773287,f,,A3CF8ULBSE8MTL:3AMW0RGHOD2G3VP2TXZFZUZ4FX9NPJ,0.2601,0,,,
15,bandit_agent,1,2016-03-10 17:22:33.293663,f,,A2P065E9CYMYJL:3N1FSUEFL50LSQC66JTO0RCFAXBD40,0.1296,0,,,
9,bandit_agent,1,2016-03-10 17:21:54.436713,f,,A3EBUBRYCKB6AF:3UNH76FOCS54URW38JGYZ63GEC2YMO,0.0484,0,,,
12,bandit_agent,1,2016-03-10 17:22:16.405278,f,,A274NFT93QPBGL:3VNL7UK1XFJ27V5SCQPMWZRS298FT9,0.2025,0,,,
19,bandit_agent,1,2016-03-10 17:22:58.716872,t,2016-03-10 17:26:13.720944,A3K7UC7LUKV0ZV:3LS2AMNW5FQJLSQTUPEHEOPJA3ZOQP,,0,,,
23,bandit_agent,1,2016-03-10 17:23:20.302279,t,2016-03-10 17:26:40.409001,A2AB9WEOEPG7WR:3FK0YFF9PZG6GKV7H0U5F3IZNOCVVT,0.1296,0,,,
20,bandit_agent,1,2016-03-10 17:23:03.518051,f,,A3L60SOWLYEDN2:3L4PIM1GQTGVR79VDRCFL5XQKZ0RY4,0.1521,0,,,
21,bandit_agent,1,2016-03-10 17:23:10.789324,f,,A31Z5TPD8QKE26:3Z4XG4ZF48R09X4P9MKDBAVCS1IX8S,0.8836000000000002,0,,,
11,bandit_agent,1,2016-03-10 17:22:14.392966,f,,A1LRJ4U04532TM:3G0WWMR1UVK137QHTAE4ZZPEKTVQND,0.28090000000000004,0,,,
14,bandit_agent,1,2016-03-10 17:22:21.220792,f,,AM155T4U3RE1A:34S9DKFK73PAC9H3KKVYCLSGJ2CYNO,0.3249000000000001,0,,,
42,bandit_agent,1,2016-03-10 17:30:47.988987,f,,A2SJC9VRBGNC58:3U0SRXB7CD51F85H6P344PZJGFXNRB,0.28090000000000004,0,,,
46,bandit_agent,1,2016-03-10 17:34:57.838284,f,,A1F34ZP6YNI98F:34T446B1C0EUOAORNMBB4I4K8LJ0C7,0.04000000000000001,0,,,
16,bandit_agent,1,2016-03-10 17:22:38.394112,f,,A2MCG5W6LHSRG9:3LS2AMNW5FQJLSQTUPEHEOPJA30QOS,0.0144,0,,,
30,bandit_agent,1,2016-03-10 17:25:16.749329,f,,A110KENBXU7SUJ:3FTYUGLFSUL3O9G6KOCY5JITAT6D55,0.3364,0,,,
28,bandit_agent,1,2016-03-10 17:25:05.480098,f,,A1S6C6EN8MPKC3:3X4JMASXCM9BE5WL9MFGTYY2Q0J0B0,0.2304,0,,,
