id,assignment_id,creation_time,event_type
1,3EG49X351UCD5JL1G7NFRWZLM6SX66,2016-03-10 17:20:55.070939,AssignmentAccepted
2,3G0WWMR1UVK137QHTAE4ZZPEKTVQND,2016-03-10 17:21:07.424451,AssignmentAccepted
3,3LS2AMNW5FQJLSQTUPEHEOPJA3ZOQP,2016-03-10 17:21:07.820007,AssignmentAccepted
4,3X31TUMD7XMNY33FWI8AL6DH7M3L1B,2016-03-10 17:21:08.210485,AssignmentAccepted
5,358010RM5ETYK902HFVN3OFK3ZKVXW,2016-03-10 17:21:08.602133,AssignmentAccepted
6,3Z4XG4ZF48R09X4P9MKDBAVCS1IX8S,2016-03-10 17:21:08.991137,AssignmentAccepted
7,35BLDD71I6XNP40HIXJ809VVBZIVZT,2016-03-10 17:21:09.376981,AssignmentAccepted
8,3FTYUGLFSUL3O9G6KOCY5JITAT6D55,2016-03-10 17:21:20.508877,AssignmentAccepted
9,3L6L49WXW0XQODXDRDB52FONXGD54K,2016-03-10 17:21:21.643653,AssignmentAccepted
10,3AUQQEL7U5TQNJURE36GUAS9TSYV00,2016-03-10 17:21:22.034779,AssignmentAccepted
11,3UNH76FOCS54URW38JGYZ63GEC2YMO,2016-03-10 17:21:22.42414,AssignmentAccepted
12,3U0SRXB7CD51F85H6P344PZJGFXNRB,2016-03-10 17:21:22.814894,AssignmentAccepted
13,3L4PIM1GQTGVR79VDRCFL5XQKZ0RY4,2016-03-10 17:21:23.208955,AssignmentAccepted
14,3TEM0PF1Q5X4T2U5NI6MOOM2TLV0D7,2016-03-10 17:21:23.602069,AssignmentAccepted
15,3AMW0RGHOD2G3VP2TXZFZUZ4FX9NPJ,2016-03-10 17:21:31.71887,AssignmentAccepted
16,3X4JMASXCM9BE5WL9MFGTYY2Q0J0B0,2016-03-10 17:21:32.109508,AssignmentAccepted
17,3LS2AMNW5FQJLSQTUPEHEOPJA30QOS,2016-03-10 17:21:32.501561,AssignmentAccepted
18,3UWN2HHPUY5DGN5ULE39UZ4F2HGNSZ,2016-03-10 17:21:32.891194,AssignmentAccepted
19,3QRYMNZ7FYHEVNI9AE8Z440140UNTO,2016-03-10 17:21:33.281098,AssignmentAccepted
20,3N1FSUEFL50LSQC66JTO0RCFAXBD40,2016-03-10 17:21:33.670194,AssignmentAccepted
21,37C0GNLMHF3Z7DGKP7M3XPWT6OHD6L,2016-03-10 17:21:34.059599,AssignmentAccepted
22,3ZWFC4W1UU7PRGS081KRWKQAEOBFRW,2016-03-10 17:21:34.448039,AssignmentAccepted
23,3S0TNUHWKTIMBRZ8IMJ1H3SKCJ7D87,2016-03-10 17:21:34.835049,AssignmentAccepted
24,3OLF68YTN91XSZ6J6QY51U10EKNAFJ,2016-03-10 17:21:35.223518,AssignmentAccepted
25,3XIQGXAUMC8W9JZ6ZHS7XAZHHHCX75,2016-03-10 17:21:35.609626,AssignmentAccepted
26,3URFVVM165INCPBHD7934NTCXS8UZ2,2016-03-10 17:21:35.998647,AssignmentAccepted
27,3QEMNNSB2XZIBDUP8HRV33WP1Z1D7K,2016-03-10 17:21:36.385951,AssignmentAccepted
28,3FK0YFF9PZG6GKV7H0U5F3IZNOCVVT,2016-03-10 17:21:36.776709,AssignmentAccepted
29,33M4IA01QG16R2JL8VQD2RQHIT6RXY,2016-03-10 17:21:37.166629,AssignmentAccepted
30,3JNQLM5FT4MUNOLBFM8OQPNMZSHL2S,2016-03-10 17:21:37.567946,AssignmentAccepted
31,3YDGXNSEOZU9BVGFPBI8EZYEZ6E84P,2016-03-10 17:21:37.955579,AssignmentAccepted
32,3VNL7UK1XFJ27V5SCQPMWZRS298FT9,2016-03-10 17:21:38.345509,AssignmentAccepted
33,34S9DKFK73PAC9H3KKVYCLSGJ2CYNO,2016-03-10 17:21:38.754492,AssignmentAccepted
34,3EWIJTFFVO79L885JDH6U64NTXW0E0,2016-03-10 17:21:39.154381,AssignmentAccepted
35,3L6L49WXW0XQODXDRDB52FONXGD54K,2016-03-10 17:21:57.260264,AssignmentReturned
36,3L6L49WXW0XQODXDRDB52FONXGD54K,2016-03-10 17:21:57.67641,AssignmentAccepted
37,3L6L49WXW0XQODXDRDB52FONXGD54K,2016-03-10 17:21:58.065384,AssignmentReturned
38,3L6L49WXW0XQODXDRDB52FONXGD54K,2016-03-10 17:21:58.458762,AssignmentAccepted
39,33OOO72IVHLV4JLILOZLOT6P5WGTCC,2016-03-10 17:22:37.367853,AssignmentAccepted
40,3NQL1CS15R8NKEQCMBHPM2MT55EVY2,2016-03-10 17:22:37.771275,AssignmentAccepted
41,3ZSANO2JCF71SVSDNQKWMUV60QUFSK,2016-03-10 17:22:38.160543,AssignmentAccepted
42,34T446B1C0EUOAORNMBB4I4K8LJ0C7,2016-03-10 17:22:38.553775,AssignmentAccepted
