id,type,info_in_id,info_out_id,node_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
1,mutation,2,3,6,1,2016-03-10 17:21:22.226919,f,,,,,,
2,mutation,1,4,6,1,2016-03-10 17:21:22.244827,f,,,,,,
3,mutation,2,9,7,1,2016-03-10 17:21:36.836775,f,,,,,,
4,mutation,1,10,7,1,2016-03-10 17:21:36.85233,f,,,,,,
5,mutation,1,12,8,1,2016-03-10 17:21:39.501899,f,,,,,,
6,mutation,2,13,8,1,2016-03-10 17:21:39.52672,f,,,,,,
7,mutation,2,30,9,1,2016-03-10 17:21:54.505912,f,,,,,,
8,mutation,1,31,9,1,2016-03-10 17:21:54.523303,f,,,,,,
9,mutation,1,36,10,1,2016-03-10 17:21:58.622615,f,,,,,,
10,mutation,2,37,10,1,2016-03-10 17:21:58.645676,f,,,,,,
11,mutation,1,66,11,1,2016-03-10 17:22:14.460601,f,,,,,,
12,mutation,2,67,11,1,2016-03-10 17:22:14.477602,f,,,,,,
13,mutation,1,71,12,1,2016-03-10 17:22:16.495937,f,,,,,,
14,mutation,2,72,12,1,2016-03-10 17:22:16.520172,f,,,,,,
15,mutation,2,82,13,1,2016-03-10 17:22:19.96177,f,,,,,,
16,mutation,1,83,13,1,2016-03-10 17:22:19.986471,f,,,,,,
17,mutation,2,86,14,1,2016-03-10 17:22:21.317942,f,,,,,,
18,mutation,1,87,14,1,2016-03-10 17:22:21.3444,f,,,,,,
19,mutation,1,119,15,1,2016-03-10 17:22:33.359729,f,,,,,,
20,mutation,2,120,15,1,2016-03-10 17:22:33.37554,f,,,,,,
21,mutation,2,133,16,1,2016-03-10 17:22:38.465578,f,,,,,,
22,mutation,1,134,16,1,2016-03-10 17:22:38.484132,f,,,,,,
25,mutation,2,195,18,1,2016-03-10 17:22:55.795163,f,,,,,,
26,mutation,1,196,18,1,2016-03-10 17:22:55.810099,f,,,,,,
29,mutation,2,230,20,1,2016-03-10 17:23:03.611096,f,,,,,,
30,mutation,1,231,20,1,2016-03-10 17:23:03.639309,f,,,,,,
31,mutation,2,260,21,1,2016-03-10 17:23:10.85208,f,,,,,,
32,mutation,1,261,21,1,2016-03-10 17:23:10.867787,f,,,,,,
33,mutation,1,290,22,1,2016-03-10 17:23:18.128132,f,,,,,,
34,mutation,2,291,22,1,2016-03-10 17:23:18.151504,f,,,,,,
37,mutation,1,353,24,1,2016-03-10 17:23:31.619548,f,,,,,,
38,mutation,2,354,24,1,2016-03-10 17:23:31.636544,f,,,,,,
39,mutation,2,666,25,1,2016-03-10 17:24:30.58427,f,,,,,,
40,mutation,1,668,25,1,2016-03-10 17:24:30.608977,f,,,,,,
43,mutation,2,790,27,1,2016-03-10 17:24:56.392019,f,,,,,,
44,mutation,1,791,27,1,2016-03-10 17:24:56.41782,f,,,,,,
45,mutation,2,840,28,1,2016-03-10 17:25:05.540033,f,,,,,,
46,mutation,1,841,28,1,2016-03-10 17:25:05.555538,f,,,,,,
47,mutation,1,853,29,1,2016-03-10 17:25:07.638642,f,,,,,,
48,mutation,2,854,29,1,2016-03-10 17:25:07.653758,f,,,,,,
49,mutation,1,907,30,1,2016-03-10 17:25:16.847473,f,,,,,,
50,mutation,2,908,30,1,2016-03-10 17:25:16.87353,f,,,,,,
51,mutation,2,1139,31,1,2016-03-10 17:26:03.333285,f,,,,,,
52,mutation,1,1141,31,1,2016-03-10 17:26:03.356867,f,,,,,,
53,mutation,1,1159,32,1,2016-03-10 17:26:08.027107,f,,,,,,
54,mutation,2,1160,32,1,2016-03-10 17:26:08.045325,f,,,,,,
55,mutation,1,1164,33,1,2016-03-10 17:26:08.836627,f,,,,,,
56,mutation,2,1166,33,1,2016-03-10 17:26:08.851769,f,,,,,,
57,mutation,1,1182,34,1,2016-03-10 17:26:11.889079,f,,,,,,
58,mutation,2,1183,34,1,2016-03-10 17:26:11.903687,f,,,,,,
27,mutation,1,210,19,1,2016-03-10 17:22:58.788309,t,2016-03-10 17:26:13.77948,,,,,
28,mutation,2,211,19,1,2016-03-10 17:22:58.805324,t,2016-03-10 17:26:13.779459,,,,,
35,mutation,2,300,23,1,2016-03-10 17:23:20.36731,t,2016-03-10 17:26:40.482633,,,,,
36,mutation,1,301,23,1,2016-03-10 17:23:20.387406,t,2016-03-10 17:26:40.482654,,,,,
59,mutation,1,1482,35,1,2016-03-10 17:27:07.835871,f,,,,,,
60,mutation,2,1483,35,1,2016-03-10 17:27:07.851147,f,,,,,,
63,mutation,1,1604,37,1,2016-03-10 17:27:30.344115,f,,,,,,
64,mutation,2,1605,37,1,2016-03-10 17:27:30.360235,f,,,,,,
65,mutation,1,1620,38,1,2016-03-10 17:27:32.860135,f,,,,,,
66,mutation,2,1621,38,1,2016-03-10 17:27:32.890543,f,,,,,,
67,mutation,1,1717,39,1,2016-03-10 17:27:47.848627,f,,,,,,
68,mutation,2,1718,39,1,2016-03-10 17:27:47.865092,f,,,,,,
69,mutation,1,1977,40,1,2016-03-10 17:28:40.148165,f,,,,,,
70,mutation,2,1978,40,1,2016-03-10 17:28:40.163568,f,,,,,,
23,mutation,1,168,17,1,2016-03-10 17:22:49.31094,t,2016-03-10 17:29:09.254597,,,,,
24,mutation,2,169,17,1,2016-03-10 17:22:49.328137,t,2016-03-10 17:29:09.254619,,,,,
71,mutation,1,2219,41,1,2016-03-10 17:29:38.924831,f,,,,,,
72,mutation,2,2220,41,1,2016-03-10 17:29:38.942986,f,,,,,,
73,mutation,1,2433,42,1,2016-03-10 17:30:48.058757,f,,,,,,
74,mutation,2,2434,42,1,2016-03-10 17:30:48.076078,f,,,,,,
77,mutation,1,2438,44,1,2016-03-10 17:30:49.786798,f,,,,,,
78,mutation,2,2439,44,1,2016-03-10 17:30:49.810601,f,,,,,,
61,mutation,2,1586,36,1,2016-03-10 17:27:27.111989,t,2016-03-10 17:32:48.725345,,,,,
62,mutation,1,1587,36,1,2016-03-10 17:27:27.128521,t,2016-03-10 17:32:48.725366,,,,,
79,mutation,2,2709,45,1,2016-03-10 17:33:51.678245,f,,,,,,
80,mutation,1,2710,45,1,2016-03-10 17:33:51.693689,f,,,,,,
81,mutation,2,2791,46,1,2016-03-10 17:34:57.928996,f,,,,,,
82,mutation,1,2792,46,1,2016-03-10 17:34:57.952285,f,,,,,,
83,mutation,1,2836,47,1,2016-03-10 17:35:45.326852,f,,,,,,
84,mutation,2,2837,47,1,2016-03-10 17:35:45.343462,f,,,,,,
41,mutation,2,740,26,1,2016-03-10 17:24:46.382609,t,2016-03-10 17:36:40.823296,,,,,
42,mutation,1,741,26,1,2016-03-10 17:24:46.406545,t,2016-03-10 17:36:40.823318,,,,,
75,mutation,2,2435,43,1,2016-03-10 17:30:48.438043,t,2016-03-10 17:39:25.999978,,,,,
76,mutation,1,2436,43,1,2016-03-10 17:30:48.453918,t,2016-03-10 17:39:25.999999,,,,,
85,mutation,2,3093,48,1,2016-03-10 17:42:41.173825,f,,,,,,
86,mutation,1,3094,48,1,2016-03-10 17:42:41.190206,f,,,,,,
87,mutation,2,3158,49,1,2016-03-10 17:45:37.402695,f,,,,,,
88,mutation,1,3159,49,1,2016-03-10 17:45:37.41814,f,,,,,,
91,mutation,2,3292,51,1,2016-03-10 17:57:01.18491,f,,,,,,
92,mutation,1,3293,51,1,2016-03-10 17:57:01.201773,f,,,,,,
89,mutation,2,3266,50,1,2016-03-10 17:54:42.037274,t,2016-03-10 17:58:32.775325,,,,,
90,mutation,1,3267,50,1,2016-03-10 17:54:42.054167,t,2016-03-10 17:58:32.775347,,,,,
93,mutation,1,3392,52,1,2016-03-10 18:01:48.93311,f,,,,,,
94,mutation,2,3393,52,1,2016-03-10 18:01:48.95729,f,,,,,,
95,mutation,66,3507,53,1,2016-03-10 18:10:06.098455,f,,,,,,
96,mutation,67,3508,53,1,2016-03-10 18:10:06.121445,f,,,,,,
111,mutation,3392,3569,61,1,2016-03-10 18:11:08.687041,f,,,,,,
112,mutation,3393,3570,61,1,2016-03-10 18:11:08.710313,f,,,,,,
97,mutation,840,3518,54,1,2016-03-10 18:10:40.350384,f,,,,,,
98,mutation,841,3519,54,1,2016-03-10 18:10:40.365641,f,,,,,,
103,mutation,1605,3527,57,1,2016-03-10 18:10:46.133225,f,,,,,,
104,mutation,1604,3528,57,1,2016-03-10 18:10:46.148367,f,,,,,,
115,mutation,907,3595,63,1,2016-03-10 18:11:16.915225,f,,,,,,
116,mutation,908,3596,63,1,2016-03-10 18:11:16.929766,f,,,,,,
99,mutation,120,3522,55,1,2016-03-10 18:10:43.636157,f,,,,,,
100,mutation,119,3523,55,1,2016-03-10 18:10:43.656005,f,,,,,,
101,mutation,908,3524,56,1,2016-03-10 18:10:45.002593,f,,,,,,
102,mutation,907,3525,56,1,2016-03-10 18:10:45.03132,f,,,,,,
105,mutation,1139,3535,58,1,2016-03-10 18:10:51.910809,f,,,,,,
106,mutation,1141,3537,58,1,2016-03-10 18:10:51.925345,f,,,,,,
107,mutation,790,3541,59,1,2016-03-10 18:10:54.546549,f,,,,,,
108,mutation,791,3542,59,1,2016-03-10 18:10:54.561297,f,,,,,,
119,mutation,2219,3607,65,1,2016-03-10 18:11:19.824664,f,,,,,,
120,mutation,2220,3608,65,1,2016-03-10 18:11:19.839365,f,,,,,,
109,mutation,907,3554,60,1,2016-03-10 18:11:01.752817,f,,,,,,
110,mutation,908,3555,60,1,2016-03-10 18:11:01.766935,f,,,,,,
113,mutation,2791,3571,62,1,2016-03-10 18:11:09.193399,f,,,,,,
114,mutation,2792,3572,62,1,2016-03-10 18:11:09.217786,f,,,,,,
117,mutation,260,3604,64,1,2016-03-10 18:11:19.209103,f,,,,,,
118,mutation,261,3605,64,1,2016-03-10 18:11:19.229757,f,,,,,,
121,mutation,13,3762,66,1,2016-03-10 18:12:00.487082,f,,,,,,
122,mutation,12,3763,66,1,2016-03-10 18:12:00.511118,f,,,,,,
123,mutation,10,3792,67,1,2016-03-10 18:12:07.190689,f,,,,,,
124,mutation,9,3793,67,1,2016-03-10 18:12:07.207318,f,,,,,,
127,mutation,907,3818,69,1,2016-03-10 18:12:12.638695,f,,,,,,
128,mutation,908,3819,69,1,2016-03-10 18:12:12.655436,f,,,,,,
129,mutation,1166,3899,70,1,2016-03-10 18:12:28.464814,f,,,,,,
130,mutation,1164,3900,70,1,2016-03-10 18:12:28.48204,f,,,,,,
131,mutation,290,3959,71,1,2016-03-10 18:12:38.733333,f,,,,,,
132,mutation,291,3960,71,1,2016-03-10 18:12:38.758139,f,,,,,,
133,mutation,290,4032,72,1,2016-03-10 18:12:50.850679,f,,,,,,
134,mutation,291,4033,72,1,2016-03-10 18:12:50.878154,f,,,,,,
135,mutation,2438,4091,73,1,2016-03-10 18:13:00.178924,f,,,,,,
136,mutation,2439,4092,73,1,2016-03-10 18:13:00.20311,f,,,,,,
137,mutation,82,4121,74,1,2016-03-10 18:13:04.371437,f,,,,,,
138,mutation,83,4122,74,1,2016-03-10 18:13:04.399176,f,,,,,,
139,mutation,3,4174,75,1,2016-03-10 18:13:12.184229,f,,,,,,
140,mutation,4,4175,75,1,2016-03-10 18:13:12.207246,f,,,,,,
141,mutation,66,4185,76,1,2016-03-10 18:13:14.075798,f,,,,,,
142,mutation,67,4186,76,1,2016-03-10 18:13:14.091797,f,,,,,,
143,mutation,230,4215,77,1,2016-03-10 18:13:18.31963,f,,,,,,
144,mutation,231,4216,77,1,2016-03-10 18:13:18.335397,f,,,,,,
145,mutation,83,4404,78,1,2016-03-10 18:13:42.679541,f,,,,,,
146,mutation,82,4405,78,1,2016-03-10 18:13:42.695635,f,,,,,,
147,mutation,260,4538,79,1,2016-03-10 18:14:00.691153,f,,,,,,
148,mutation,261,4539,79,1,2016-03-10 18:14:00.716811,f,,,,,,
151,mutation,66,4928,81,1,2016-03-10 18:14:55.925701,f,,,,,,
152,mutation,67,4929,81,1,2016-03-10 18:14:55.950154,f,,,,,,
153,mutation,1139,5170,82,1,2016-03-10 18:15:29.874644,f,,,,,,
154,mutation,1141,5172,82,1,2016-03-10 18:15:29.88892,f,,,,,,
155,mutation,1604,5284,83,1,2016-03-10 18:15:49.024432,f,,,,,,
156,mutation,1605,5285,83,1,2016-03-10 18:15:49.038937,f,,,,,,
157,mutation,260,5345,84,1,2016-03-10 18:16:00.490094,f,,,,,,
158,mutation,261,5346,84,1,2016-03-10 18:16:00.504736,f,,,,,,
149,mutation,9,4861,80,1,2016-03-10 18:14:45.838469,t,2016-03-10 18:16:40.131891,,,,,
150,mutation,10,4862,80,1,2016-03-10 18:14:45.856455,t,2016-03-10 18:16:40.13187,,,,,
159,mutation,2219,5634,85,1,2016-03-10 18:16:57.063545,f,,,,,,
160,mutation,2220,5635,85,1,2016-03-10 18:16:57.078438,f,,,,,,
161,mutation,1139,5705,86,1,2016-03-10 18:17:13.860331,f,,,,,,
162,mutation,1141,5708,86,1,2016-03-10 18:17:13.881309,f,,,,,,
163,mutation,3093,5792,87,1,2016-03-10 18:17:33.832358,f,,,,,,
164,mutation,3094,5793,87,1,2016-03-10 18:17:33.856573,f,,,,,,
125,mutation,86,3813,68,1,2016-03-10 18:12:12.056072,t,2016-03-10 18:17:51.193433,,,,,
126,mutation,87,3814,68,1,2016-03-10 18:12:12.074916,t,2016-03-10 18:17:51.193412,,,,,
165,mutation,1182,6238,88,1,2016-03-10 18:19:43.704763,f,,,,,,
166,mutation,1183,6239,88,1,2016-03-10 18:19:43.721566,f,,,,,,
167,mutation,3158,6284,89,1,2016-03-10 18:20:02.232454,f,,,,,,
168,mutation,3159,6285,89,1,2016-03-10 18:20:02.248973,f,,,,,,
169,mutation,1717,6465,90,1,2016-03-10 18:22:09.556622,f,,,,,,
170,mutation,1718,6466,90,1,2016-03-10 18:22:09.57202,f,,,,,,
171,mutation,119,6537,91,1,2016-03-10 18:23:16.436945,f,,,,,,
172,mutation,120,6538,91,1,2016-03-10 18:23:16.451658,f,,,,,,
173,mutation,2710,6696,92,1,2016-03-10 18:27:49.905114,f,,,,,,
174,mutation,2709,6697,92,1,2016-03-10 18:27:49.921506,f,,,,,,
175,mutation,840,6751,93,1,2016-03-10 18:29:57.201846,f,,,,,,
176,mutation,841,6752,93,1,2016-03-10 18:29:57.225438,f,,,,,,
177,mutation,3,6865,94,1,2016-03-10 18:50:42.616544,t,2016-03-10 19:04:32.244916,,,,,
178,mutation,4,6866,94,1,2016-03-10 18:50:42.646872,t,2016-03-10 19:04:32.244894,,,,,
179,mutation,3,6933,95,1,2016-03-10 19:08:03.291237,f,,,,,,
180,mutation,4,6934,95,1,2016-03-10 19:08:03.307538,f,,,,,,
181,mutation,3762,7086,96,1,2016-03-10 19:17:59.175762,f,,,,,,
182,mutation,3763,7087,96,1,2016-03-10 19:17:59.192044,f,,,,,,
183,mutation,3507,7088,97,1,2016-03-10 19:18:10.493428,f,,,,,,
184,mutation,3508,7089,97,1,2016-03-10 19:18:10.5085,f,,,,,,
185,mutation,3524,7099,98,1,2016-03-10 19:18:31.115388,f,,,,,,
186,mutation,3525,7100,98,1,2016-03-10 19:18:31.131498,f,,,,,,
187,mutation,5284,7105,99,1,2016-03-10 19:18:36.792059,f,,,,,,
188,mutation,5285,7106,99,1,2016-03-10 19:18:36.82024,f,,,,,,
189,mutation,6284,7119,100,1,2016-03-10 19:18:52.339207,f,,,,,,
190,mutation,6285,7120,100,1,2016-03-10 19:18:52.354981,f,,,,,,
191,mutation,4174,7137,101,1,2016-03-10 19:19:06.320017,f,,,,,,
192,mutation,4175,7138,101,1,2016-03-10 19:19:06.343773,f,,,,,,
193,mutation,6751,7163,102,1,2016-03-10 19:19:20.206922,f,,,,,,
194,mutation,6752,7164,102,1,2016-03-10 19:19:20.221978,f,,,,,,
195,mutation,6284,7166,103,1,2016-03-10 19:19:22.691373,f,,,,,,
196,mutation,6285,7167,103,1,2016-03-10 19:19:22.707476,f,,,,,,
197,mutation,6751,7191,104,1,2016-03-10 19:19:32.375062,f,,,,,,
198,mutation,6752,7192,104,1,2016-03-10 19:19:32.402184,f,,,,,,
201,mutation,5284,7257,106,1,2016-03-10 19:19:56.811934,f,,,,,,
202,mutation,5285,7258,106,1,2016-03-10 19:19:56.834825,f,,,,,,
203,mutation,3535,7268,107,1,2016-03-10 19:20:00.759143,f,,,,,,
204,mutation,3537,7269,107,1,2016-03-10 19:20:00.77388,f,,,,,,
199,mutation,3522,7205,105,1,2016-03-10 19:19:37.126971,t,2016-03-10 19:21:07.41019,,,,,
200,mutation,3523,7206,105,1,2016-03-10 19:19:37.141392,t,2016-03-10 19:21:07.410167,,,,,
217,mutation,3537,7596,114,1,2016-03-10 19:21:26.992114,f,,,,,,
218,mutation,3535,7598,114,1,2016-03-10 19:21:27.01593,f,,,,,,
215,mutation,6239,7549,113,1,2016-03-10 19:21:16.068391,t,2016-03-10 19:23:28.569668,,,,,
205,mutation,6285,7322,108,1,2016-03-10 19:20:17.092918,f,,,,,,
206,mutation,6284,7323,108,1,2016-03-10 19:20:17.107995,f,,,,,,
207,mutation,3522,7399,109,1,2016-03-10 19:20:39.057969,f,,,,,,
208,mutation,3523,7400,109,1,2016-03-10 19:20:39.072733,f,,,,,,
209,mutation,4032,7459,110,1,2016-03-10 19:20:55.676118,f,,,,,,
210,mutation,4033,7460,110,1,2016-03-10 19:20:55.691719,f,,,,,,
229,mutation,3507,7933,120,1,2016-03-10 19:22:22.989665,f,,,,,,
230,mutation,3508,7934,120,1,2016-03-10 19:22:23.005072,f,,,,,,
219,mutation,6285,7622,115,1,2016-03-10 19:21:30.904069,t,2016-03-10 19:34:00.077046,,,,,
220,mutation,6284,7623,115,1,2016-03-10 19:21:30.918925,t,2016-03-10 19:34:00.077024,,,,,
211,mutation,3570,7480,111,1,2016-03-10 19:20:59.154237,f,,,,,,
212,mutation,3569,7481,111,1,2016-03-10 19:20:59.170095,f,,,,,,
221,mutation,3762,7807,116,1,2016-03-10 19:22:02.457382,f,,,,,,
222,mutation,3763,7809,116,1,2016-03-10 19:22:02.477029,f,,,,,,
223,mutation,6752,7863,117,1,2016-03-10 19:22:11.465748,f,,,,,,
224,mutation,6751,7864,117,1,2016-03-10 19:22:11.481828,f,,,,,,
213,mutation,4174,7514,112,1,2016-03-10 19:21:06.977485,f,,,,,,
214,mutation,4175,7516,112,1,2016-03-10 19:21:07.011163,f,,,,,,
225,mutation,3762,7880,118,1,2016-03-10 19:22:14.242113,f,,,,,,
226,mutation,3763,7881,118,1,2016-03-10 19:22:14.267196,f,,,,,,
227,mutation,3524,7910,119,1,2016-03-10 19:22:19.928123,f,,,,,,
228,mutation,3525,7911,119,1,2016-03-10 19:22:19.959827,f,,,,,,
231,mutation,6238,7996,121,1,2016-03-10 19:22:31.909769,f,,,,,,
232,mutation,6239,7997,121,1,2016-03-10 19:22:31.942751,f,,,,,,
235,mutation,6284,8297,123,1,2016-03-10 19:23:22.631268,f,,,,,,
236,mutation,6285,8298,123,1,2016-03-10 19:23:22.654392,f,,,,,,
