id,vector_id,info_id,origin_id,destination_id,network_id,creation_time,receive_time,failed,time_of_death,status,property1,property2,property3,property4,property5
35,18,1,1,23,1,2016-03-10 17:23:20.33107,2016-03-10 17:23:20.344129,t,2016-03-10 17:26:40.476909,received,,,,,
36,18,2,1,23,1,2016-03-10 17:23:20.340699,2016-03-10 17:23:20.344109,t,2016-03-10 17:26:40.476933,received,,,,,
1,1,1,1,6,1,2016-03-10 17:21:22.182458,2016-03-10 17:21:22.200936,f,,received,,,,,
2,1,2,1,6,1,2016-03-10 17:21:22.196511,2016-03-10 17:21:22.200911,f,,received,,,,,
3,2,1,1,7,1,2016-03-10 17:21:36.799337,2016-03-10 17:21:36.813544,f,,received,,,,,
4,2,2,1,7,1,2016-03-10 17:21:36.809712,2016-03-10 17:21:36.813518,f,,received,,,,,
59,30,1,1,35,1,2016-03-10 17:27:07.800176,2016-03-10 17:27:07.815981,f,,received,,,,,
60,30,2,1,35,1,2016-03-10 17:27:07.812534,2016-03-10 17:27:07.816001,f,,received,,,,,
5,3,2,1,8,1,2016-03-10 17:21:39.447647,2016-03-10 17:21:39.466714,f,,received,,,,,
6,3,1,1,8,1,2016-03-10 17:21:39.460871,2016-03-10 17:21:39.466688,f,,received,,,,,
7,4,1,1,9,1,2016-03-10 17:21:54.466417,2016-03-10 17:21:54.480827,f,,received,,,,,
8,4,2,1,9,1,2016-03-10 17:21:54.476705,2016-03-10 17:21:54.480802,f,,received,,,,,
9,5,2,1,10,1,2016-03-10 17:21:58.571239,2016-03-10 17:21:58.589358,f,,received,,,,,
10,5,1,1,10,1,2016-03-10 17:21:58.583919,2016-03-10 17:21:58.589337,f,,received,,,,,
11,6,2,1,11,1,2016-03-10 17:22:14.422278,2016-03-10 17:22:14.436757,f,,received,,,,,
12,6,1,1,11,1,2016-03-10 17:22:14.432592,2016-03-10 17:22:14.436733,f,,received,,,,,
63,32,1,1,37,1,2016-03-10 17:27:30.308338,2016-03-10 17:27:30.321785,f,,received,,,,,
64,32,2,1,37,1,2016-03-10 17:27:30.318286,2016-03-10 17:27:30.321805,f,,received,,,,,
13,7,2,1,12,1,2016-03-10 17:22:16.443137,2016-03-10 17:22:16.461564,f,,received,,,,,
14,7,1,1,12,1,2016-03-10 17:22:16.455705,2016-03-10 17:22:16.461539,f,,received,,,,,
15,8,1,1,13,1,2016-03-10 17:22:19.902858,2016-03-10 17:22:19.924201,f,,received,,,,,
16,8,2,1,13,1,2016-03-10 17:22:19.917757,2016-03-10 17:22:19.924162,f,,received,,,,,
65,33,1,1,38,1,2016-03-10 17:27:32.801382,2016-03-10 17:27:32.821819,f,,received,,,,,
66,33,2,1,38,1,2016-03-10 17:27:32.816512,2016-03-10 17:27:32.82184,f,,received,,,,,
17,9,1,1,14,1,2016-03-10 17:22:21.262311,2016-03-10 17:22:21.281356,f,,received,,,,,
18,9,2,1,14,1,2016-03-10 17:22:21.275418,2016-03-10 17:22:21.28133,f,,received,,,,,
19,10,2,1,15,1,2016-03-10 17:22:33.319622,2016-03-10 17:22:33.332297,f,,received,,,,,
20,10,1,1,15,1,2016-03-10 17:22:33.328926,2016-03-10 17:22:33.332277,f,,received,,,,,
67,34,1,1,39,1,2016-03-10 17:27:47.812298,2016-03-10 17:27:47.826969,f,,received,,,,,
68,34,2,1,39,1,2016-03-10 17:27:47.823238,2016-03-10 17:27:47.826989,f,,received,,,,,
21,11,1,1,16,1,2016-03-10 17:22:38.424518,2016-03-10 17:22:38.439348,f,,received,,,,,
22,11,2,1,16,1,2016-03-10 17:22:38.435164,2016-03-10 17:22:38.439323,f,,received,,,,,
69,35,1,1,40,1,2016-03-10 17:28:40.114978,2016-03-10 17:28:40.12789,f,,received,,,,,
70,35,2,1,40,1,2016-03-10 17:28:40.124733,2016-03-10 17:28:40.12791,f,,received,,,,,
25,13,1,1,18,1,2016-03-10 17:22:55.760257,2016-03-10 17:22:55.773891,f,,received,,,,,
26,13,2,1,18,1,2016-03-10 17:22:55.770252,2016-03-10 17:22:55.773868,f,,received,,,,,
23,12,2,1,17,1,2016-03-10 17:22:49.275438,2016-03-10 17:22:49.288892,t,2016-03-10 17:29:09.24901,received,,,,,
24,12,1,1,17,1,2016-03-10 17:22:49.285197,2016-03-10 17:22:49.288872,t,2016-03-10 17:29:09.249039,received,,,,,
71,36,1,1,41,1,2016-03-10 17:29:38.886525,2016-03-10 17:29:38.898709,f,,received,,,,,
72,36,2,1,41,1,2016-03-10 17:29:38.895712,2016-03-10 17:29:38.898729,f,,received,,,,,
29,15,1,1,20,1,2016-03-10 17:23:03.557129,2016-03-10 17:23:03.576364,f,,received,,,,,
30,15,2,1,20,1,2016-03-10 17:23:03.570706,2016-03-10 17:23:03.57634,f,,received,,,,,
31,16,1,1,21,1,2016-03-10 17:23:10.816709,2016-03-10 17:23:10.829508,f,,received,,,,,
32,16,2,1,21,1,2016-03-10 17:23:10.82599,2016-03-10 17:23:10.829488,f,,received,,,,,
73,37,1,1,42,1,2016-03-10 17:30:48.02092,2016-03-10 17:30:48.036688,f,,received,,,,,
74,37,2,1,42,1,2016-03-10 17:30:48.032765,2016-03-10 17:30:48.036713,f,,received,,,,,
33,17,2,1,22,1,2016-03-10 17:23:18.07595,2016-03-10 17:23:18.093155,f,,received,,,,,
34,17,1,1,22,1,2016-03-10 17:23:18.087893,2016-03-10 17:23:18.093134,f,,received,,,,,
37,19,1,1,24,1,2016-03-10 17:23:31.578379,2016-03-10 17:23:31.591783,f,,received,,,,,
38,19,2,1,24,1,2016-03-10 17:23:31.5883,2016-03-10 17:23:31.591803,f,,received,,,,,
39,20,2,1,25,1,2016-03-10 17:24:30.527184,2016-03-10 17:24:30.545295,f,,received,,,,,
40,20,1,1,25,1,2016-03-10 17:24:30.53991,2016-03-10 17:24:30.545317,f,,received,,,,,
77,39,1,1,44,1,2016-03-10 17:30:49.733968,2016-03-10 17:30:49.75275,f,,received,,,,,
78,39,2,1,44,1,2016-03-10 17:30:49.747393,2016-03-10 17:30:49.75277,f,,received,,,,,
61,31,2,1,36,1,2016-03-10 17:27:27.0765,2016-03-10 17:27:27.090038,t,2016-03-10 17:32:48.719539,received,,,,,
62,31,1,1,36,1,2016-03-10 17:27:27.086615,2016-03-10 17:27:27.090058,t,2016-03-10 17:32:48.719565,received,,,,,
43,22,2,1,27,1,2016-03-10 17:24:56.3402,2016-03-10 17:24:56.3576,f,,received,,,,,
44,22,1,1,27,1,2016-03-10 17:24:56.352368,2016-03-10 17:24:56.357622,f,,received,,,,,
45,23,2,1,28,1,2016-03-10 17:25:05.507047,2016-03-10 17:25:05.519844,f,,received,,,,,
46,23,1,1,28,1,2016-03-10 17:25:05.51641,2016-03-10 17:25:05.519864,f,,received,,,,,
79,40,2,1,45,1,2016-03-10 17:33:51.643018,2016-03-10 17:33:51.656634,f,,received,,,,,
80,40,1,1,45,1,2016-03-10 17:33:51.653039,2016-03-10 17:33:51.656654,f,,received,,,,,
47,24,1,1,29,1,2016-03-10 17:25:07.602072,2016-03-10 17:25:07.616423,f,,received,,,,,
48,24,2,1,29,1,2016-03-10 17:25:07.612647,2016-03-10 17:25:07.616447,f,,received,,,,,
49,25,1,1,30,1,2016-03-10 17:25:16.790491,2016-03-10 17:25:16.813425,f,,received,,,,,
50,25,2,1,30,1,2016-03-10 17:25:16.807223,2016-03-10 17:25:16.813458,f,,received,,,,,
81,41,2,1,46,1,2016-03-10 17:34:57.876908,2016-03-10 17:34:57.895668,f,,received,,,,,
82,41,1,1,46,1,2016-03-10 17:34:57.89025,2016-03-10 17:34:57.895689,f,,received,,,,,
51,26,2,1,31,1,2016-03-10 17:26:03.282259,2016-03-10 17:26:03.29624,f,,received,,,,,
52,26,1,1,31,1,2016-03-10 17:26:03.292622,2016-03-10 17:26:03.29626,f,,received,,,,,
53,27,1,1,32,1,2016-03-10 17:26:07.994456,2016-03-10 17:26:08.00669,f,,received,,,,,
54,27,2,1,32,1,2016-03-10 17:26:08.003586,2016-03-10 17:26:08.00671,f,,received,,,,,
83,42,1,1,47,1,2016-03-10 17:35:45.288872,2016-03-10 17:35:45.302881,f,,received,,,,,
84,42,2,1,47,1,2016-03-10 17:35:45.299218,2016-03-10 17:35:45.302901,f,,received,,,,,
55,28,1,1,33,1,2016-03-10 17:26:08.801563,2016-03-10 17:26:08.815617,f,,received,,,,,
56,28,2,1,33,1,2016-03-10 17:26:08.811974,2016-03-10 17:26:08.815641,f,,received,,,,,
41,21,2,1,26,1,2016-03-10 17:24:46.321495,2016-03-10 17:24:46.343549,t,2016-03-10 17:36:40.817468,received,,,,,
42,21,1,1,26,1,2016-03-10 17:24:46.337428,2016-03-10 17:24:46.343575,t,2016-03-10 17:36:40.817501,received,,,,,
57,29,1,1,34,1,2016-03-10 17:26:11.856063,2016-03-10 17:26:11.868793,f,,received,,,,,
58,29,2,1,34,1,2016-03-10 17:26:11.865655,2016-03-10 17:26:11.868813,f,,received,,,,,
27,14,2,1,19,1,2016-03-10 17:22:58.747457,2016-03-10 17:22:58.762709,t,2016-03-10 17:26:13.773882,received,,,,,
28,14,1,1,19,1,2016-03-10 17:22:58.758586,2016-03-10 17:22:58.762685,t,2016-03-10 17:26:13.773906,received,,,,,
