id,origin_id,destination_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
1,1,6,1,2016-03-10 17:21:22.166385,f,,,,,,
2,1,7,1,2016-03-10 17:21:36.787275,f,,,,,,
3,1,8,1,2016-03-10 17:21:39.431141,f,,,,,,
4,1,9,1,2016-03-10 17:21:54.453565,f,,,,,,
5,1,10,1,2016-03-10 17:21:58.553747,f,,,,,,
6,1,11,1,2016-03-10 17:22:14.409359,f,,,,,,
7,1,12,1,2016-03-10 17:22:16.427188,f,,,,,,
8,1,13,1,2016-03-10 17:22:19.886214,f,,,,,,
9,1,14,1,2016-03-10 17:22:21.244155,f,,,,,,
10,1,15,1,2016-03-10 17:22:33.308208,f,,,,,,
11,1,16,1,2016-03-10 17:22:38.411255,f,,,,,,
13,1,18,1,2016-03-10 17:22:55.74771,f,,,,,,
15,1,20,1,2016-03-10 17:23:03.540581,f,,,,,,
16,1,21,1,2016-03-10 17:23:10.805203,f,,,,,,
17,1,22,1,2016-03-10 17:23:18.060844,f,,,,,,
19,1,24,1,2016-03-10 17:23:31.566653,f,,,,,,
20,1,25,1,2016-03-10 17:24:30.508336,f,,,,,,
22,1,27,1,2016-03-10 17:24:56.324756,f,,,,,,
23,1,28,1,2016-03-10 17:25:05.495546,f,,,,,,
24,1,29,1,2016-03-10 17:25:07.589551,f,,,,,,
25,1,30,1,2016-03-10 17:25:16.77277,f,,,,,,
26,1,31,1,2016-03-10 17:26:03.270403,f,,,,,,
27,1,32,1,2016-03-10 17:26:07.983401,f,,,,,,
28,1,33,1,2016-03-10 17:26:08.788954,f,,,,,,
29,1,34,1,2016-03-10 17:26:11.844168,f,,,,,,
14,1,19,1,2016-03-10 17:22:58.734055,t,2016-03-10 17:26:13.73251,,,,,
18,1,23,1,2016-03-10 17:23:20.318837,t,2016-03-10 17:26:40.420698,,,,,
30,1,35,1,2016-03-10 17:27:07.788109,f,,,,,,
32,1,37,1,2016-03-10 17:27:30.296305,f,,,,,,
33,1,38,1,2016-03-10 17:27:32.78607,f,,,,,,
34,1,39,1,2016-03-10 17:27:47.799394,f,,,,,,
35,1,40,1,2016-03-10 17:28:40.103329,f,,,,,,
12,1,17,1,2016-03-10 17:22:49.263427,t,2016-03-10 17:29:09.165946,,,,,
36,1,41,1,2016-03-10 17:29:38.874659,f,,,,,,
37,1,42,1,2016-03-10 17:30:48.006064,f,,,,,,
39,1,44,1,2016-03-10 17:30:49.717548,f,,,,,,
31,1,36,1,2016-03-10 17:27:27.064338,t,2016-03-10 17:32:48.693022,,,,,
40,1,45,1,2016-03-10 17:33:51.630757,f,,,,,,
41,1,46,1,2016-03-10 17:34:57.860719,f,,,,,,
42,1,47,1,2016-03-10 17:35:45.276195,f,,,,,,
21,1,26,1,2016-03-10 17:24:46.301343,t,2016-03-10 17:36:40.696163,,,,,
38,1,43,1,2016-03-10 17:30:48.389048,t,2016-03-10 17:39:25.979771,,,,,
43,1,48,1,2016-03-10 17:42:41.126143,f,,,,,,
44,1,49,1,2016-03-10 17:45:37.355539,f,,,,,,
46,1,51,1,2016-03-10 17:57:01.136329,f,,,,,,
